"date","mq","llq","uuq"
2020-05-11,0.85,0.72,0.97
2020-05-12,0.85,0.72,0.98
2020-05-13,0.85,0.72,0.98
2020-05-14,0.85,0.72,0.98
2020-05-15,0.85,0.72,0.98
2020-05-16,0.85,0.72,0.98
2020-05-17,0.86,0.73,0.99
2020-05-18,0.87,0.74,1.0
2020-05-19,0.88,0.75,1.01
2020-05-20,0.88,0.75,1.01
2020-05-21,0.89,0.76,1.02
2020-05-22,0.89,0.77,1.02
2020-05-23,0.9,0.77,1.03
2020-05-24,0.9,0.77,1.03
2020-05-25,0.9,0.77,1.03
2020-05-26,0.89,0.77,1.02
2020-05-27,0.89,0.76,1.02
2020-05-28,0.89,0.76,1.01
2020-05-29,0.89,0.76,1.02
2020-05-30,0.91,0.78,1.04
2020-05-31,0.93,0.8,1.06
2020-06-01,0.94,0.81,1.07
2020-06-02,0.95,0.82,1.08
2020-06-03,0.95,0.82,1.09
2020-06-04,0.95,0.81,1.08
2020-06-05,0.93,0.8,1.06
2020-06-06,0.93,0.8,1.06
2020-06-07,0.93,0.8,1.06
2020-06-08,0.92,0.79,1.05
2020-06-09,0.91,0.78,1.04
2020-06-10,0.88,0.75,1.01
2020-06-11,0.87,0.73,1.0
2020-06-12,0.85,0.72,0.98
2020-06-13,0.84,0.7,0.97
2020-06-14,0.83,0.69,0.96
2020-06-15,0.82,0.68,0.96
2020-06-16,0.83,0.69,0.97
2020-06-17,0.83,0.69,0.97
2020-06-18,0.84,0.7,0.98
2020-06-19,0.85,0.71,0.99
2020-06-20,0.86,0.72,1.0
2020-06-21,0.88,0.74,1.02
2020-06-22,0.9,0.76,1.03
2020-06-23,0.92,0.79,1.06
2020-06-24,0.96,0.83,1.09
2020-06-25,0.99,0.86,1.12
2020-06-26,1.03,0.9,1.16
2020-06-27,1.06,0.93,1.19
2020-06-28,1.1,0.97,1.23
2020-06-29,1.14,1.0,1.28
2020-06-30,1.17,1.02,1.31
2020-07-01,1.18,1.03,1.32
2020-07-02,1.17,1.03,1.31
2020-07-03,1.17,1.03,1.3
2020-07-04,1.16,1.03,1.3
2020-07-05,1.16,1.03,1.29
2020-07-06,1.16,1.03,1.29
2020-07-07,1.15,1.02,1.28
2020-07-08,1.14,1.01,1.27
2020-07-09,1.13,1.0,1.26
2020-07-10,1.12,0.99,1.25
2020-07-11,1.11,0.98,1.24
2020-07-12,1.11,0.98,1.24
2020-07-13,1.12,1.0,1.25
2020-07-14,1.14,1.01,1.26
2020-07-15,1.15,1.02,1.28
2020-07-16,1.15,1.02,1.28
2020-07-17,1.17,1.04,1.3
2020-07-18,1.18,1.05,1.31
2020-07-19,1.2,1.06,1.33
2020-07-20,1.2,1.07,1.34
2020-07-21,1.2,1.06,1.33
2020-07-22,1.19,1.06,1.33
2020-07-23,1.19,1.05,1.32
2020-07-24,1.18,1.05,1.32
2020-07-25,1.18,1.04,1.31
2020-07-26,1.16,1.03,1.29
2020-07-27,1.14,1.01,1.27
2020-07-28,1.11,0.99,1.24
2020-07-29,1.09,0.96,1.22
2020-07-30,1.05,0.92,1.18
2020-07-31,1.03,0.9,1.16
2020-08-01,1.01,0.88,1.14
2020-08-02,0.98,0.85,1.11
2020-08-03,0.96,0.82,1.09
2020-08-04,0.94,0.81,1.08
2020-08-05,0.93,0.79,1.07
2020-08-06,0.92,0.78,1.06
2020-08-07,0.92,0.78,1.06
2020-08-08,0.91,0.76,1.05
2020-08-09,0.91,0.76,1.05
2020-08-10,0.92,0.78,1.06
2020-08-11,0.93,0.79,1.07
2020-08-12,0.95,0.82,1.09
2020-08-13,0.98,0.84,1.11
2020-08-14,1.0,0.87,1.13
2020-08-15,1.02,0.89,1.15
2020-08-16,1.04,0.91,1.17
2020-08-17,1.08,0.95,1.21
2020-08-18,1.12,0.99,1.25
2020-08-19,1.16,1.03,1.29
2020-08-20,1.2,1.06,1.33
2020-08-21,1.22,1.09,1.36
2020-08-22,1.24,1.1,1.38
2020-08-23,1.25,1.11,1.39
2020-08-24,1.26,1.12,1.4
2020-08-25,1.26,1.12,1.4
2020-08-26,1.26,1.12,1.4
2020-08-27,1.26,1.12,1.4
2020-08-28,1.26,1.12,1.39
2020-08-29,1.24,1.11,1.38
2020-08-30,1.23,1.09,1.36
2020-08-31,1.21,1.08,1.34
2020-09-01,1.2,1.07,1.33
2020-09-02,1.2,1.07,1.32
2020-09-03,1.18,1.06,1.31
2020-09-04,1.18,1.05,1.31
2020-09-05,1.18,1.05,1.3
2020-09-06,1.18,1.05,1.31
2020-09-07,1.18,1.05,1.31
2020-09-08,1.17,1.04,1.3
2020-09-09,1.15,1.02,1.28
2020-09-10,1.13,1.0,1.25
2020-09-11,1.11,0.99,1.24
2020-09-12,1.1,0.97,1.23
2020-09-13,1.09,0.96,1.22
2020-09-14,1.08,0.95,1.21
2020-09-15,1.06,0.93,1.19
2020-09-16,1.03,0.9,1.16
2020-09-17,1.01,0.88,1.15
2020-09-18,1.01,0.87,1.14
2020-09-19,1.01,0.87,1.14
2020-09-20,1.01,0.88,1.14
2020-09-21,1.01,0.88,1.14
