"total","strangers","dates"
8.249970930831353,6.634596335595509,2020-05-13
8.327727373162816,6.662925473183831,2020-05-14
8.41013978719139,6.694064126619353,2020-05-15
8.497157770854686,6.727841420567239,2020-05-16
8.588719892915684,6.764072537851903,2020-05-17
8.684753688328366,6.802561750207353,2020-05-18
8.785175689640905,6.8431057683536975,2020-05-19
8.88989149483262,6.885497381588999,2020-05-20
8.998795871834234,6.92952935060877,2020-05-21
9.11177289983099,6.974998510647341,2020-05-22
9.228696147297477,7.021710035362233,2020-05-23
9.349428886560156,7.069481805260598,2020-05-24
9.47382434453127,7.1181488180242924,2020-05-25
9.60172598910545,7.167567571977579,2020-05-26
9.732967850559637,7.217620348328278,2020-05-27
9.867374877147633,7.268219312888286,2020-05-28
10.004763323934716,7.319310353944112,2020-05-29
10.144941173774553,7.370876570013674,2020-05-30
10.287708589192123,7.422941319606234,2020-05-31
10.43285839380231,7.4755707450069915,2020-06-01
10.580176581765134,7.528875683734311,2020-06-02
10.729442853656128,7.5830128848419545,2020-06-03
10.880431177014177,7.638185452807045,2020-06-04
11.03291036972023,7.6946424494649825,2020-06-05
11.18664470425869,7.75267759438495,2020-06-06
11.34139453081998,7.812627016229618,2020-06-07
11.49691691711729,7.874866021953441,2020-06-08
11.652966302714503,7.939804867043237,2020-06-09
11.809295165594175,8.007883528199205,2020-06-10
11.965654698636655,8.079565499630839,2020-06-11
12.121795493632087,8.155330655167448,2020-06-12
12.277468230407925,8.235667240257861,2020-06-13
12.432424368624385,8.321063080200341,2020-06-14
12.586416839770592,8.411996113093082,2020-06-15
12.739200736883117,8.508924377478975,2020-06-16
12.890533999508413,8.612275604902202,2020-06-17
13.040178091438385,8.72243658601228,2020-06-18
13.187898668767541,8.839742494864819,2020-06-19
13.333466235846293,8.964466369118743,2020-06-20
13.476656786742405,9.09680895340272,2020-06-21
13.617252429867154,9.236889118758494,2020-06-22
13.755041993477093,9.38473507238285,2020-06-23
13.889821609824292,9.540276568589364,2020-06-24
14.021395275798376,9.703338323802578,2020-06-25
14.14957538798171,9.873634825406352,2020-06-26
14.274183250124729,10.050766706436368,2020-06-27
14.395049551141112,10.234218835604382,2020-06-28
14.512014811822022,10.423360245267846,2020-06-29
14.624929798574573,10.617445989129797,2020-06-30
14.733655902601964,10.815620987213947,2020-07-01
14.83806548306082,11.016925878651204,2020-07-02
14.938042172854363,11.220304863779065,2020-07-03
15.033481145848853,11.424615476813988,2020-07-04
15.12428934443447,11.628640189784004,2020-07-05
15.210385666488815,11.831099708423388,2020-07-06
15.291701110943961,12.030667782261862,2020-07-07
15.368178881303573,12.225987315110686,2020-07-08
15.439774446605615,12.415687529449443,2020-07-09
15.506455559479228,12.598401909685766,2020-07-10
15.568202231098649,12.772786625654588,2020-07-11
15.62500666299604,12.937539119708287,2020-07-12
15.676873135853661,13.091416528869093,2020-07-13
15.723817855558725,13.23325360818893,2020-07-14
15.765868756966373,13.361979822963118,2020-07-15
15.803065265981052,13.47663528589712,2020-07-16
15.835458020731284,13.57638523069656,2020-07-17
15.863108552776966,13.660532735649191,2020-07-18
15.886088929455376,13.728529439249618,2020-07-19
15.904481358633056,13.779984024289902,2020-07-20
15.918377757296902,13.814668286466222,2020-07-21
15.927879285576527,13.832520647677853,2020-07-22
15.933095847950582,13.83364702194741,2020-07-23
15.934145563544568,13.818318992310783,2020-07-24
15.931154207581164,13.786969309074838,2020-07-25
15.924254626191383,13.740184772438754,2020-07-26
15.91358612693891,13.678696614508116,2020-07-27
15.8992938475469,13.603368546085765,2020-07-28
15.881528105447847,13.515182681203715,2020-07-29
15.860443730900418,13.41522359612041,2020-07-30
15.836199386532787,13.304660818459684,2020-07-31
15.808956876277586,13.184730075420902,2020-08-01
15.77888044676029,13.056713656760223,2020-08-02
15.746136084287315,12.921920267869645,2020-08-03
15.71089081065298,12.78166476025322,2020-08-04
15.673311981045268,12.637248130656968,2020-08-05
15.63356658737542,12.489938175862875,2020-08-06
15.59182057038823,12.340951177687439,2020-08-07
15.548238143925403,12.191434972190372,2020-08-08
15.502981134712714,12.042453728841616,2020-08-09
15.45620834102334,11.89497472992013,2020-08-10
15.40807491353284,11.7498573984014,2020-08-11
15.358731761625638,11.607844774878421,2020-08-12
15.308324988335958,11.469557591604067,2020-08-13
15.256995357013864,11.335491035661382,2020-08-14
15.204877792686815,11.20601423473676,2020-08-15
15.152100920954577,11.08137243928639,2020-08-16
15.09878664709475,10.96169181534339,2020-08-17
15.045049777879605,10.846986704188161,2020-08-18
14.99099768840495,10.737169149904759,2020-08-19
14.936730036012076,10.632060444784496,2020-08-20
14.882338523145702,10.531404396828268,2020-08-21
14.827906710730556,10.43488198436625,2020-08-22
14.773509883375272,10.342127031046486,2020-08-23
14.719214967415159,10.252742510973357,2020-08-24
14.665080502499265,10.166317079255514,2020-08-25
14.611156667101096,10.082441418099611,2020-08-26
14.557485357995796,10.000723993086803,2020-08-27
14.504100323401882,9.920805828411979,2020-08-28
14.45102734912649,9.842373933401554,2020-08-29
14.398284496693112,9.765173045116846,2020-08-30
14.345882392063682,9.689015392593841,2020-08-31
14.29382456320094,9.613788236377346,2020-09-01
14.24210782434762,9.539458991384326,2020-09-02
14.190722704541564,9.466077800524335,2020-09-03
14.139653917527166,9.393777489493413,2020-09-04
14.088880869881628,9.322770898266993,2020-09-05
14.03837820384228,9.253345650434346,2020-09-06
13.98811637100684,9.185856486063301,2020-09-07
13.938062232782606,9.120715345644847,2020-09-08
13.888179683189437,9.058379450307644,2020-09-09
13.838430289371015,8.999337675455594,2020-09-10
13.788773944955054,8.944095559954809,2020-09-11
13.739169531210795,8.89315932980801,2020-09-12
13.689575580802428,8.847019342979083,2020-09-13
13.639950938817996,8.806133379901668,2020-09-14
13.590255415674672,8.770910211764875,2020-09-15
13.54045042646582,8.741693875674075,2020-09-16
13.49049961131417,8.718749072272844,2020-09-17
13.440369431349293,8.702248077693477,2020-09-18
13.390029735014307,8.692259528325707,2020-09-19
13.339454289546723,8.68873939467121,2020-09-20
13.28862127266067,8.69152441049918,2020-09-21
13.237513719684905,8.700328166861704,2020-09-22
13.186119921683863,8.714740018646724,2020-09-23
13.134433770406153,8.734226885746422,2020-09-24
13.082455046262503,8.758137963197674,2020-09-25
13.030189645935605,8.785712286451345,2020-09-26
12.977649746660363,8.81608903087793,2020-09-27
12.924853904687687,8.848320360337985,2020-09-28
12.871827085949779,8.88138657964235,2020-09-29
12.818600627478542,8.914213291415706,2020-09-30
12.765212128690107,8.9456902104995,2020-10-01
12.711705272227492,8.974691249664644,2020-10-02
12.658129574650657,9.000095459903061,2020-10-03
12.604540067872891,9.020808387586527,2020-10-04
12.550996912854849,9.035783399702687,2020-10-05
12.497564947687241,9.044042527382027,2020-10-06
12.444313172800786,9.044696386916321,2020-10-07
12.391314176650853,9.036962756150132,2020-10-08
12.338643505804265,9.020183411920788,2020-10-09
12.286378983928234,8.993838870453617,2020-10-10
12.234599984718228,8.957560716290299,2020-10-11
12.183386664311483,8.911141255443368,2020-10-12
12.132819159204002,8.854540283758961,2020-10-13
12.082976756117944,8.787888820706028,2020-10-14
12.033937040652077,8.711489720588533,2020-10-15
11.98577503187419,8.625815136166924,2020-10-16
11.938562310296708,8.531500872483916,2020-10-17
11.892366146890257,8.429337729986766,2020-10-18
11.847248640947527,8.320259994582287,2020-10-19
11.803265874699452,8.20533128686097,2020-10-20
11.76046709261157,8.085728032343143,2020-10-21
11.718893913239384,7.962720858314581,2020-10-22
11.678579581416582,7.8376542598744114,2020-10-23
11.639548268355925,7.711924907595618,2020-10-24
11.601814426999377,7.586958991289062,2020-10-25
11.56538220962752,7.4641890084835865,2020-10-26
11.530244954351787,7.345030412306193,2020-10-27
11.496384746665518,7.230858531549083,2020-10-28
11.463772061707907,7.122986166061893,2020-10-29
11.432365492331835,7.022642243589281,2020-10-30
11.402111567436519,6.930951900316898,2020-10-31
11.372944664351186,6.848918317276343,2020-11-01
11.344787018343093,6.777406609164377,2020-11-02
11.317548831556367,6.7171300218210375,2020-11-03
11.291128482908503,6.668638650473893,2020-11-04
11.265412839654841,6.632310843797378,2020-11-05
11.240277670487869,6.60834740978027,2020-11-06
11.21558815921188,6.596768689301457,2020-11-07
11.191199517161285,6.597414513074361,2020-11-08
11.166957691704445,6.609947008184214,2020-11-09
11.142700167319385,6.633856172612878,2020-11-10
11.118256854927631,6.668468090755915,2020-11-11
11.093451064359224,6.712955620712808,2020-11-12
11.06810055407891,6.766351345706969,2020-11-13
11.042018651567032,6.8275625479780055,2020-11-14
11.015015437083626,6.895387934294464,2020-11-15
10.986898982912827,6.968535818321169,2020-11-16
10.957476639623765,7.045643446644081,2020-11-17
10.92655636038696,7.125297142530516,2020-11-18
10.89394805394308,7.206052934551149,2020-11-19
10.85946495647073,7.286457335981544,2020-11-20
10.822925012315462,7.365067945323567,2020-11-21
10.78415225333688,7.4404735481276205,2020-11-22
10.742978166514812,7.5113134152837,2020-11-23
10.699243039416686,7.576295512653697,2020-11-24
10.652797273178864,7.634213360973565,2020-11-25
10.603502652781993,7.683961312783976,2020-11-26
10.551233564632394,7.724548044241912,2020-11-27
10.4958781517409,7.755108093392566,2020-11-28
10.437339397192863,7.774911312230402,2020-11-29
10.375536127047834,7.783370136978817,2020-11-30
10.310403924346298,7.780044618811715,2020-12-01
10.241895946506391,7.7646451950732684,2020-12-02
10.169983639057396,7.737033218258435,2020-12-03
10.09465733938922,7.697219295977349,2020-12-04
10.015926764982316,7.645359529262365,2020-12-05
9.933821381405584,7.581749768302633,2020-12-06
9.848390646249138,7.506818033557022,2020-12-07
9.75970412606098,7.421115275725266,2020-12-08
9.667851484281746,7.3253046699101665,2020-12-09
9.5729423391354,7.220149657174032,2020-12-10
9.475105991376795,7.106500960369109,2020-12-11
9.374491022774508,6.985282810465784,2020-12-12
9.271264767156078,6.85747862457803,2020-12-13
9.165612656789811,6.724116377504466,2020-12-14
9.057737447806725,6.586253904994019,2020-12-15
8.94785832925036,6.444964369292965,2020-12-16
8.836209921216064,6.301322106103988,2020-12-17
8.72304116835155,6.156389057201411,2020-12-18
8.608614135759048,6.011201975016384,2020-12-19
