"total","strangers","dates"
8.872439114836313,8.75674567823536,2020-05-13
8.929162194404975,8.730446640884598,2020-05-14
8.989417027753007,8.70640644236321,2020-05-15
9.053207922875094,8.684875821976922,2020-05-16
9.120533510446121,8.666108658975533,2020-05-17
9.191386635844541,8.650360895986402,2020-05-18
9.265754262591845,8.637889405887663,2020-05-19
9.343617387652039,8.628950806887387,2020-05-20
9.424950969007352,8.623800231077539,2020-05-21
9.509723865896355,8.622690052209208,2020-05-22
9.597898792070023,8.625868578883772,2020-05-23
9.689432282388221,8.633578719769076,2020-05-24
9.784274673045358,8.646056627826123,2020-05-25
9.882370095678512,8.663530330866884,2020-05-26
9.98365648557524,8.686218356053587,2020-05-27
10.088065604160487,8.714328356191595,2020-05-28
10.195523075903864,8.748055745858824,2020-05-29
10.30594843974964,8.787582355552324,2020-05-30
10.419255215131578,8.833075112115424,2020-05-31
10.535350982594746,8.88468475373525,2020-06-01
10.654137479005739,8.942544587769689,2020-06-02
10.775510707291428,9.00676929957471,2020-06-03
10.899361060605694,9.0774538203574,2020-06-04
11.025573460781969,9.154672261877852,2020-06-05
11.154027510888813,9.238476925565395,2020-06-06
11.284597661664655,9.32889739330316,2020-06-07
11.417153391567695,9.425939706771745,2020-06-08
11.551559400136904,9.529585641830456,2020-06-09
11.687675814320883,9.639792083956168,2020-06-10
11.825358407392924,9.756490510258505,2020-06-11
11.964458830032966,9.879586583049743,2020-06-12
12.104824853120407,10.008959859372496,2020-06-13
12.24630062174647,10.14446362028158,2020-06-14
12.388726919920416,10.28592482304409,2020-06-15
12.53194144541082,10.433144178766529,2020-06-16
12.675779094131888,10.585896357286217,2020-06-17
12.820072253454384,10.743930320479462,2020-06-18
12.964651103792699,10.906969784446456,2020-06-19
13.109343927792512,11.07471381033728,2020-06-20
13.25397742641892,11.246837522888502,2020-06-21
13.398377041221302,11.422992955050724,2020-06-22
13.542367282030462,11.602810016407938,2020-06-23
13.685772059324059,11.785897582423127,2020-06-24
13.828415020479095,11.971844700895241,2020-06-25
13.970119889115354,12.160221911384077,2020-06-26
14.110710806720325,12.350582672753132,2020-06-27
14.250012675735405,12.542464893401124,2020-06-28
14.387851503274746,12.73539255820047,2020-06-29
14.524054744640988,12.92887744563933,2020-06-30
14.658451645798577,13.122420928173074,2020-07-01
14.790873583962954,13.315515848333902,2020-07-02
14.921154405464122,13.507648462722742,2020-07-03
15.049130760045692,13.698300445618749,2020-07-04
15.174642430765244,13.886950943586578,2020-07-05
15.297532658668855,14.073078672142106,2020-07-06
15.417648461421344,14.256164045252758,2020-07-07
15.534840945085865,14.435691328198693,2020-07-08
15.648965608259473,14.611150804106535,2020-07-09
15.759882637786914,14.78204094428689,2020-07-10
15.867457195293227,14.947870572360962,2020-07-11
15.97155969379463,15.108161012050019,2020-07-12
16.0720660636696,15.262448208423947,2020-07-13
16.168858007295945,15.410284812361922,2020-07-14
16.261823241684134,15.551242217969584,2020-07-15
16.350855728466442,15.684912542723655,2020-07-16
16.435855890628577,15.810910540176803,2020-07-17
16.516730815403307,15.928875435154609,2020-07-18
16.593394442776567,16.038472671512825,2020-07-19
16.66576773909145,16.139395562699352,2020-07-20
16.733778855270543,16.231366835581262,2020-07-21
16.79736326921426,16.314140058257593,2020-07-22
16.85646391197036,16.387500942881836,2020-07-23
16.911031277309633,16.45126851486929,2020-07-24
16.96102351438322,16.50529614026452,2020-07-25
17.00640650317729,16.549472403494757,2020-07-26
17.04715391252447,16.583721828240318,2020-07-27
17.08324724047359,16.60800543471195,2020-07-28
17.114675836862357,16.622321127243392,2020-07-29
17.141436907983813,16.626703906782158,2020-07-30
17.16353550327934,16.621225903597075,2020-07-31
17.18098448403806,16.605996226318105,2020-08-01
17.193804474126903,16.581160624278922,2020-08-02
17.202023792820917,16.546900961049957,2020-08-03
17.20567836984848,16.503434498023417,2020-08-04
17.204811642811634,16.451012987943553,2020-08-05
17.19947443718664,16.389921579358784,2020-08-06
17.189724829154102,16.32047753410561,2020-08-07
17.175627991552275,16.243028761112104,2020-08-08
17.157256023290465,16.15795217102402,2020-08-09
17.134687762603143,16.065651857402734,2020-08-10
17.108008584565884,15.966557111514819,2020-08-11
17.077310183336593,15.861120279015427,2020-08-12
17.04269033962501,15.749814468115378,2020-08-13
17.00425267393235,15.633131120102274,2020-08-14
16.962106386141375,15.511577454346074,2020-08-15
16.91636598207163,15.38567380114981,2020-08-16
16.8671509876531,15.255950836990538,2020-08-17
16.814585651400254,15.122946737822138,2020-08-18
16.758798635904977,14.987204267165554,2020-08-19
16.69992269909366,14.849267816680001,2020-08-20
16.638094366023772,14.70968041777553,2020-08-21
16.57345359202133,14.568980743580198,2020-08-22
16.50614341798568,14.427700121200912,2020-08-23
16.43630961870935,14.286359574700723,2020-08-24
16.364100345084598,14.14546691954763,2020-08-25
16.28966576108148,14.005513929459921,2020-08-26
16.21315767640555,13.866973596567124,2020-08-27
16.134729175750604,13.730297505622769,2020-08-28
16.054534245578974,13.595913342630832,2020-08-29
15.972727399369717,13.46422255768486,2020-08-30
