date,cases,hospits,deaths,strangers,google,apple,rw,region
2020-02-22,0,0,0,0.0,0.0,0.0,1,capital
2020-02-23,0,0,0,0.0,0.0,0.0,1,capital
2020-02-24,0,0,0,0.0,0.0,0.0,1,capital
2020-02-25,0,0,0,0.0,0.0,0.0,1,capital
2020-02-26,1,0,0,0.0,0.0,0.0,1,capital
2020-02-27,0,0,0,0.0,0.0,0.0,1,capital
2020-02-28,0,0,0,0.0,0.0,0.0,1,capital
2020-02-29,0,0,0,0.0,0.0,0.0,1,capital
2020-03-01,0,1,0,0.0,0.0,0.0,1,capital
2020-03-02,1,0,0,0.0,0.0,0.0,1,capital
2020-03-03,0,1,0,0.0,0.0,0.0,1,capital
2020-03-04,1,0,0,0.0,0.0,0.0,1,capital
2020-03-05,0,1,0,0.0,0.0,0.0,1,capital
2020-03-06,1,3,0,0.0,0.0,0.0,1,capital
2020-03-07,0,0,0,0.0,0.0,0.0,1,capital
2020-03-08,4,3,0,0.0,0.0,0.0,1,capital
2020-03-09,37,3,0,0.0,0.0,0.0,1,capital
2020-03-10,27,6,0,0.0,0.0,0.0,1,capital
2020-03-11,27,4,0,0.0,0.0,0.0,1,capital
2020-03-12,6,3,0,0.0,0.0,0.0,1,capital
2020-03-13,3,13,0,0.0,0.0,0.0,1,capital
2020-03-14,7,9,1,0.0,0.0,0.0,1,capital
2020-03-15,10,18,1,0.0,0.0,0.0,1,capital
2020-03-16,15,23,1,0.0,0.0,0.0,1,capital
2020-03-17,10,25,1,0.0,0.0,0.0,1,capital
2020-03-18,14,21,2,0.0,0.0,0.0,1,capital
2020-03-19,6,29,3,0.0,0.0,0.0,2,capital
2020-03-20,19,33,2,0.0,0.0,0.0,2,capital
2020-03-21,8,14,3,0.0,0.0,0.0,2,capital
2020-03-22,11,22,2,0.0,0.0,0.0,2,capital
2020-03-23,17,43,4,0.0,0.0,0.0,2,capital
2020-03-24,18,37,1,0.0,0.0,0.0,2,capital
2020-03-25,29,40,2,0.0,0.0,0.0,2,capital
2020-03-26,19,41,6,0.0,0.0,0.0,3,capital
2020-03-27,28,38,7,0.0,0.0,0.0,3,capital
2020-03-28,24,31,4,0.0,0.0,0.0,3,capital
2020-03-29,15,25,2,0.0,0.0,0.0,3,capital
2020-03-30,56,39,6,0.0,0.0,0.0,3,capital
2020-03-31,38,28,8,0.0,0.0,0.0,3,capital
2020-04-01,33,29,13,0.0,0.0,0.0,3,capital
2020-04-02,65,38,9,0.0,0.0,0.0,4,capital
2020-04-03,52,33,14,0.0,0.0,0.0,4,capital
2020-04-04,26,26,7,0.0,0.0,0.0,4,capital
2020-04-05,18,23,6,0.0,0.0,0.0,4,capital
2020-04-06,63,28,11,0.0,0.0,0.0,4,capital
2020-04-07,53,36,11,0.0,0.0,0.0,4,capital
2020-04-08,52,14,8,0.0,0.0,0.0,4,capital
2020-04-09,19,18,7,0.0,0.0,0.0,5,capital
2020-04-10,21,16,10,0.0,0.0,0.0,5,capital
2020-04-11,15,17,6,0.0,0.0,0.0,5,capital
2020-04-12,19,13,8,0.0,0.0,0.0,5,capital
2020-04-13,18,18,8,0.0,0.0,0.0,5,capital
2020-04-14,51,22,8,0.0,0.0,0.0,5,capital
2020-04-15,30,12,6,0.0,0.0,0.0,5,capital
2020-04-16,24,17,5,0.0,0.0,0.0,6,capital
2020-04-17,43,13,4,0.0,0.0,0.0,6,capital
2020-04-18,22,15,8,0.0,0.0,0.0,6,capital
2020-04-19,29,20,3,0.0,0.0,0.0,6,capital
2020-04-20,36,16,3,0.0,0.0,0.0,6,capital
2020-04-21,46,18,8,0.0,0.0,0.0,6,capital
2020-04-22,34,15,10,0.0,0.0,0.0,6,capital
2020-04-23,50,16,6,0.0,0.0,0.0,7,capital
2020-04-24,35,9,5,0.0,0.0,0.0,7,capital
2020-04-25,23,18,4,0.0,0.0,0.0,7,capital
2020-04-26,18,20,4,0.0,0.0,0.0,7,capital
2020-04-27,61,8,5,0.0,0.0,0.0,7,capital
2020-04-28,29,12,7,0.0,0.0,0.0,7,capital
2020-04-29,21,9,5,0.0,0.0,0.0,7,capital
2020-04-30,31,10,5,0.0,0.0,0.0,8,capital
2020-05-01,25,9,3,0.0,0.0,0.0,8,capital
2020-05-02,29,14,4,0.0,0.0,0.0,8,capital
