date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,-2,-1,-6,0,-3.0
2020-02-16,-7,-7,-6,1,-6.666666666666667
2020-02-17,-3,-1,-2,1,-2.0
2020-02-18,1,1,-1,1,0.3333333333333333
2020-02-19,0,0,-1,1,-0.3333333333333333
2020-02-20,1,-1,-2,1,-0.6666666666666666
2020-02-21,1,1,-3,1,-0.3333333333333333
2020-02-22,-6,-3,-3,1,-4.0
2020-02-23,1,-2,0,0,-0.3333333333333333
2020-02-24,-2,-1,2,0,-0.3333333333333333
2020-02-25,-3,-3,3,1,-1.0
2020-02-26,-2,-2,3,1,-0.3333333333333333
2020-02-27,2,1,3,0,2.0
2020-02-28,17,1,2,-1,6.666666666666667
2020-02-29,10,-4,0,0,2.0
2020-03-01,21,-7,1,0,5.0
2020-03-02,11,-5,2,0,2.6666666666666665
2020-03-03,10,-5,2,0,2.3333333333333335
2020-03-04,9,-5,2,0,2.0
2020-03-05,10,-3,2,0,3.0
2020-03-06,7,-3,1,0,1.6666666666666667
2020-03-07,10,-2,1,-1,3.0
2020-03-08,11,-8,-2,0,0.3333333333333333
2020-03-09,5,-5,0,1,0.0
2020-03-10,3,-4,0,2,-0.3333333333333333
2020-03-11,5,5,-1,2,3.0
2020-03-12,-11,22,-28,12,-5.666666666666667
2020-03-13,-28,-7,-44,16,-26.333333333333332
2020-03-14,-31,-9,-16,8,-18.666666666666668
2020-03-15,-33,-24,-22,8,-26.333333333333332
2020-03-16,-24,-14,-50,17,-29.333333333333332
2020-03-17,-25,-4,-52,18,-27.0
2020-03-18,-41,-21,-54,20,-38.666666666666664
2020-03-19,-39,-20,-55,19,-38.0
2020-03-20,-44,-22,-56,21,-40.666666666666664
2020-03-21,-48,-21,-27,11,-32.0
2020-03-22,-38,-25,-28,9,-30.333333333333332
2020-03-23,-36,-20,-55,19,-37.0
2020-03-24,-36,-18,-55,19,-36.333333333333336
2020-03-25,-37,-18,-55,19,-36.666666666666664
2020-03-26,-36,-17,-55,19,-36.0
2020-03-27,-39,-18,-55,19,-37.333333333333336
2020-03-28,-43,-14,-28,10,-28.333333333333332
2020-03-29,-37,-22,-28,9,-29.0
2020-03-30,-33,-18,-54,18,-35.0
2020-03-31,-23,-4,-53,17,-26.666666666666668
2020-04-01,-32,-12,-54,19,-32.666666666666664
2020-04-02,-34,-13,-55,20,-34.0
2020-04-03,-35,-10,-55,19,-33.333333333333336
2020-04-04,-38,-8,-25,10,-23.666666666666668
2020-04-05,-22,-12,-23,7,-19.0
2020-04-06,-15,-5,-59,16,-26.333333333333332
2020-04-07,-13,4,-59,16,-22.666666666666668
2020-04-08,-9,11,-60,15,-19.333333333333332
2020-04-09,-40,-16,-82,22,-46.0
2020-04-10,-60,-36,-82,24,-59.333333333333336
2020-04-11,-31,4,-23,8,-16.666666666666668
2020-04-12,-36,-20,-23,6,-26.333333333333332
2020-04-13,-56,-30,-84,24,-56.666666666666664
2020-04-14,-15,4,-49,16,-20.0
2020-04-15,-23,-5,-48,17,-25.333333333333332
2020-04-16,-23,-4,-47,16,-24.666666666666668
2020-04-17,-26,-6,-45,15,-25.666666666666668
2020-04-18,-33,-5,-14,7,-17.333333333333332
2020-04-19,-21,-12,-14,5,-15.666666666666666
2020-04-20,-14,-5,-41,13,-20.0
2020-04-21,-15,-2,-39,13,-18.666666666666668
2020-04-22,-18,-4,-39,12,-20.333333333333332
2020-04-23,-18,-3,-39,12,-20.0
2020-04-24,-25,-5,-40,13,-23.333333333333332
2020-04-25,-29,-3,-13,6,-15.0
2020-04-26,-22,-12,-16,5,-16.666666666666668
2020-04-27,-20,-9,-39,13,-22.666666666666668
2020-04-28,-20,-6,-37,11,-21.0
2020-04-29,-26,-9,-38,14,-24.333333333333332
2020-04-30,-28,-1,-39,14,-22.666666666666668
2020-05-01,-29,0,-49,16,-26.0
2020-05-02,-34,0,-14,7,-16.0
2020-05-03,-20,-7,-9,4,-12.0
2020-05-04,-21,-2,-35,11,-19.333333333333332
2020-05-05,-22,0,-33,11,-18.333333333333332
2020-05-06,-22,2,-33,11,-17.666666666666668
2020-05-07,-12,17,-33,7,-9.333333333333334
2020-05-08,-56,-30,-78,19,-54.666666666666664
2020-05-09,-22,11,-6,3,-5.666666666666667
2020-05-10,-17,1,-5,2,-7.0
2020-05-11,-16,1,-32,11,-15.666666666666666
2020-05-12,-21,1,-31,11,-17.0
