date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,-3,-3,-5,0,-3.6666666666666665
2020-02-16,-7,-7,-4,1,-6.0
2020-02-17,-1,-1,0,1,-0.6666666666666666
2020-02-18,2,2,1,0,1.6666666666666667
2020-02-19,2,-2,0,1,0.0
2020-02-20,8,-2,0,1,2.0
2020-02-21,3,1,0,1,1.3333333333333333
2020-02-22,-7,-5,-2,1,-4.666666666666667
2020-02-23,0,-1,2,0,0.3333333333333333
2020-02-24,0,-1,2,0,0.3333333333333333
2020-02-25,-2,-2,2,1,-0.6666666666666666
2020-02-26,0,-2,3,1,0.3333333333333333
2020-02-27,3,2,2,0,2.3333333333333335
2020-02-28,12,-2,2,0,4.0
2020-02-29,5,-7,1,0,-0.3333333333333333
2020-03-01,20,-9,2,0,4.333333333333333
2020-03-02,12,-7,2,0,2.3333333333333335
2020-03-03,7,-6,2,0,1.0
2020-03-04,8,-7,2,1,1.0
2020-03-05,8,-5,2,0,1.6666666666666667
2020-03-06,2,-5,1,1,-0.6666666666666666
2020-03-07,5,-4,1,0,0.6666666666666666
2020-03-08,9,-8,-1,0,0.0
2020-03-09,3,-9,0,2,-2.0
2020-03-10,-1,-4,-1,2,-2.0
2020-03-11,4,7,-3,3,2.6666666666666665
2020-03-12,-17,22,-33,14,-9.333333333333334
2020-03-13,-34,-8,-50,20,-30.666666666666668
2020-03-14,-36,-10,-18,8,-21.333333333333332
2020-03-15,-40,-25,-23,9,-29.333333333333332
2020-03-16,-29,-16,-58,20,-34.333333333333336
2020-03-17,-30,-3,-60,21,-31.0
2020-03-18,-48,-24,-62,24,-44.666666666666664
2020-03-19,-45,-21,-63,23,-43.0
2020-03-20,-51,-23,-63,25,-45.666666666666664
2020-03-21,-56,-23,-33,12,-37.333333333333336
2020-03-22,-51,-27,-33,10,-37.0
2020-03-23,-43,-22,-63,22,-42.666666666666664
2020-03-24,-44,-20,-64,22,-42.666666666666664
2020-03-25,-43,-20,-63,23,-42.0
2020-03-26,-44,-19,-63,23,-42.0
2020-03-27,-48,-19,-63,23,-43.333333333333336
2020-03-28,-53,-18,-33,11,-34.666666666666664
2020-03-29,-48,-24,-33,10,-35.0
2020-03-30,-39,-21,-62,22,-40.666666666666664
2020-03-31,-33,-9,-62,21,-34.666666666666664
2020-04-01,-40,-17,-62,23,-39.666666666666664
2020-04-02,-43,-17,-63,23,-41.0
2020-04-03,-47,-12,-62,23,-40.333333333333336
2020-04-04,-49,-11,-31,11,-30.333333333333332
2020-04-05,-36,-14,-28,7,-26.0
2020-04-06,-27,-10,-66,19,-34.333333333333336
2020-04-07,-27,-2,-66,19,-31.666666666666668
2020-04-08,-23,3,-66,18,-28.666666666666668
2020-04-09,-50,-23,-83,23,-52.0
2020-04-10,-67,-41,-84,26,-64.0
2020-04-11,-44,1,-27,9,-23.333333333333332
2020-04-12,-48,-24,-26,6,-32.666666666666664
2020-04-13,-63,-39,-85,25,-62.333333333333336
2020-04-14,-28,4,-57,19,-27.0
2020-04-15,-33,-7,-56,20,-32.0
2020-04-16,-32,-7,-55,19,-31.333333333333332
2020-04-17,-37,-7,-53,18,-32.333333333333336
2020-04-18,-45,-8,-20,8,-24.333333333333332
2020-04-19,-36,-14,-18,5,-22.666666666666668
2020-04-20,-25,-9,-48,16,-27.333333333333332
2020-04-21,-27,-5,-47,15,-26.333333333333332
2020-04-22,-27,-7,-47,16,-27.0
2020-04-23,-29,-6,-47,15,-27.333333333333332
2020-04-24,-37,-7,-47,16,-30.333333333333332
2020-04-25,-43,-7,-18,7,-22.666666666666668
2020-04-26,-37,-15,-18,5,-23.333333333333332
2020-04-27,-29,-11,-46,16,-28.666666666666668
2020-04-28,-30,-8,-45,13,-27.666666666666668
2020-04-29,-38,-14,-46,17,-32.666666666666664
2020-04-30,-44,-9,-46,17,-33.0
2020-05-01,-44,-2,-56,19,-34.0
2020-05-02,-50,-5,-19,9,-24.666666666666668
2020-05-03,-38,-9,-12,4,-19.666666666666668
2020-05-04,-33,-6,-41,14,-26.666666666666668
2020-05-05,-35,-3,-41,14,-26.333333333333332
2020-05-06,-35,-2,-40,14,-25.666666666666668
2020-05-07,-27,11,-40,10,-18.666666666666668
2020-05-08,-64,-37,-79,21,-60.0
2020-05-09,-41,4,-10,4,-15.666666666666666
2020-05-10,-36,-3,-8,2,-15.666666666666666
2020-05-11,-28,0,-39,13,-22.333333333333332
2020-05-12,-32,0,-38,14,-23.333333333333332
