date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,-4,-2,-9,0,-5.0
2020-02-16,-11,-6,-7,2,-8.0
2020-02-17,-6,-2,3,1,-1.6666666666666667
2020-02-18,-3,1,3,0,0.3333333333333333
2020-02-19,-1,1,3,0,1.0
2020-02-20,-2,0,3,1,0.3333333333333333
2020-02-21,-1,1,3,0,1.0
2020-02-22,-5,0,-1,1,-2.0
2020-02-23,1,0,0,0,0.3333333333333333
2020-02-24,-2,0,3,0,0.3333333333333333
2020-02-25,-7,-3,2,1,-2.6666666666666665
2020-02-26,-4,-2,3,1,-1.0
2020-02-27,2,1,2,0,1.6666666666666667
2020-02-28,17,-1,2,-1,6.0
2020-02-29,11,-3,0,0,2.6666666666666665
2020-03-01,17,-8,-1,0,2.6666666666666665
2020-03-02,11,-7,2,0,2.0
2020-03-03,8,-7,2,0,1.0
2020-03-04,10,-6,2,0,2.0
2020-03-05,11,-5,1,0,2.3333333333333335
2020-03-06,9,-5,1,0,1.6666666666666667
2020-03-07,11,-2,0,-1,3.0
2020-03-08,9,-10,-3,1,-1.3333333333333333
2020-03-09,6,-7,1,1,0.0
2020-03-10,4,-5,0,2,-0.3333333333333333
2020-03-11,5,3,-1,2,2.3333333333333335
2020-03-12,-8,21,-28,12,-5.0
2020-03-13,-26,-10,-43,16,-26.333333333333332
2020-03-14,-32,-11,-16,8,-19.666666666666668
2020-03-15,-34,-27,-24,8,-28.333333333333332
2020-03-16,-23,-16,-49,16,-29.333333333333332
2020-03-17,-26,-8,-50,18,-28.0
2020-03-18,-40,-21,-53,20,-38.0
2020-03-19,-38,-22,-54,20,-38.0
2020-03-20,-42,-25,-54,20,-40.333333333333336
2020-03-21,-46,-23,-26,11,-31.666666666666668
2020-03-22,-34,-27,-27,9,-29.333333333333332
2020-03-23,-33,-21,-53,18,-35.666666666666664
2020-03-24,-36,-21,-54,19,-37.0
2020-03-25,-36,-19,-53,19,-36.0
2020-03-26,-35,-19,-53,19,-35.666666666666664
2020-03-27,-37,-20,-54,19,-37.0
2020-03-28,-41,-15,-26,10,-27.333333333333332
2020-03-29,-34,-23,-26,9,-27.666666666666668
2020-03-30,-31,-20,-53,18,-34.666666666666664
2020-03-31,-24,-6,-52,17,-27.333333333333332
2020-04-01,-31,-13,-52,18,-32.0
2020-04-02,-33,-14,-53,19,-33.333333333333336
2020-04-03,-35,-12,-53,19,-33.333333333333336
2020-04-04,-38,-9,-23,9,-23.333333333333332
2020-04-05,-21,-12,-21,7,-18.0
2020-04-06,-14,-6,-59,16,-26.333333333333332
2020-04-07,-13,4,-59,16,-22.666666666666668
2020-04-08,-8,12,-60,14,-18.666666666666668
2020-04-09,-41,-16,-83,22,-46.666666666666664
2020-04-10,-62,-39,-83,24,-61.333333333333336
2020-04-11,-32,3,-24,9,-17.666666666666668
2020-04-12,-38,-21,-24,6,-27.666666666666668
2020-04-13,-56,-30,-84,24,-56.666666666666664
2020-04-14,-13,3,-48,16,-19.333333333333332
2020-04-15,-22,-5,-46,16,-24.333333333333332
2020-04-16,-22,-6,-45,16,-24.333333333333332
2020-04-17,-25,-9,-43,14,-25.666666666666668
2020-04-18,-31,-7,-13,7,-17.0
2020-04-19,-18,-13,-14,5,-15.0
2020-04-20,-11,-7,-39,12,-19.0
2020-04-21,-14,-3,-38,12,-18.333333333333332
2020-04-22,-16,-5,-38,12,-19.666666666666668
2020-04-23,-16,-4,-38,12,-19.333333333333332
2020-04-24,-23,-9,-39,13,-23.666666666666668
2020-04-25,-27,-5,-13,6,-15.0
2020-04-26,-19,-14,-17,5,-16.666666666666668
2020-04-27,-21,-12,-38,14,-23.666666666666668
2020-04-28,-19,-8,-36,11,-21.0
2020-04-29,-23,-10,-37,13,-23.333333333333332
2020-04-30,-24,0,-38,14,-20.666666666666668
2020-05-01,-27,-3,-48,15,-26.0
2020-05-02,-31,-1,-13,7,-15.0
2020-05-03,-19,-9,-10,4,-12.666666666666666
2020-05-04,-19,-5,-33,11,-19.0
2020-05-05,-20,-1,-32,10,-17.666666666666668
2020-05-06,-21,1,-32,11,-17.333333333333332
2020-05-07,-10,17,-32,7,-8.333333333333334
2020-05-08,-58,-33,-79,19,-56.666666666666664
2020-05-09,-20,10,-7,3,-5.666666666666667
2020-05-10,-16,1,-7,2,-7.333333333333333
2020-05-11,-13,-1,-31,10,-15.0
2020-05-12,-19,0,-30,11,-16.333333333333332
2020-05-13,-19,0,-29,10,-16.0
2020-05-14,-17,0,-29,9,-15.333333333333334
2020-05-15,-23,-5,-30,10,-19.333333333333332
2020-05-16,-29,-2,-9,6,-13.333333333333334
2020-05-17,-20,-8,-8,5,-12.0
2020-05-18,-10,-5,-24,9,-13.0
2020-05-19,-8,1,-21,7,-9.333333333333334
2020-05-20,7,16,-21,3,0.6666666666666666
2020-05-21,-41,-20,-78,16,-46.333333333333336
2020-05-22,-7,-2,-61,14,-23.333333333333332
2020-05-23,-15,-2,3,3,-4.666666666666667
2020-05-24,-14,-9,-4,3,-9.0
2020-05-25,-3,-3,-22,7,-9.333333333333334
2020-05-26,-4,-1,-19,6,-8.0
2020-05-27,-6,-1,-18,6,-8.333333333333334
2020-05-28,-1,3,-18,5,-5.333333333333333
2020-05-29,3,7,-16,2,-2.0
2020-05-30,-1,12,14,-2,8.333333333333334
2020-05-31,-24,-11,2,-2,-11.0
2020-06-01,-35,-13,-78,13,-42.0
2020-06-02,16,20,-17,3,6.333333333333333
2020-06-03,6,8,-18,4,-1.3333333333333333
2020-06-04,10,17,-19,4,2.6666666666666665
2020-06-05,-40,-26,-63,15,-43.0
2020-06-06,3,14,4,2,7.0
2020-06-07,-2,-6,4,2,-1.3333333333333333
2020-06-08,7,2,-17,4,-2.6666666666666665
2020-06-09,3,3,-17,4,-3.6666666666666665
2020-06-10,3,2,-17,4,-4.0
2020-06-11,7,5,-17,4,-1.6666666666666667
2020-06-12,1,-1,-16,3,-5.333333333333333
2020-06-13,-6,0,11,0,1.6666666666666667
2020-06-14,7,-4,12,-2,5.0
2020-06-15,13,4,-16,2,0.3333333333333333
2020-06-16,12,7,-15,2,1.3333333333333333
2020-06-17,9,5,-16,2,-0.6666666666666666
2020-06-18,12,5,-17,2,0.0
2020-06-19,0,-1,-17,3,-6.0
2020-06-20,-3,1,7,-1,1.6666666666666667
2020-06-21,8,-2,7,-1,4.333333333333333
2020-06-22,17,6,-19,2,1.3333333333333333
2020-06-23,13,8,-18,0,1.0
2020-06-24,11,5,-16,1,0.0
2020-06-25,15,8,-17,1,2.0
2020-06-26,2,-2,-16,0,-5.333333333333333
2020-06-27,-6,1,5,-4,0.0
2020-06-28,4,0,2,-1,2.0
2020-06-29,15,4,-27,4,-2.6666666666666665
2020-06-30,23,12,-27,4,2.6666666666666665
2020-07-01,21,8,-28,3,0.3333333333333333
2020-07-02,21,8,-29,2,0.0
2020-07-03,6,-2,-30,3,-8.666666666666666
2020-07-04,-4,0,-5,-2,-3.0
2020-07-05,9,-3,-8,0,-0.6666666666666666
2020-07-06,25,6,-42,6,-3.6666666666666665
2020-07-07,22,6,-41,5,-4.333333333333333
2020-07-08,22,4,-40,4,-4.666666666666667
2020-07-09,19,3,-40,4,-6.0
2020-07-10,6,-5,-40,4,-13.0
2020-07-11,1,0,-3,-4,-0.6666666666666666
2020-07-12,12,-4,-9,-2,-0.3333333333333333
2020-07-13,30,5,-58,6,-7.666666666666667
2020-07-14,26,6,-59,8,-9.0
2020-07-15,24,2,-57,7,-10.333333333333334
2020-07-16,23,1,-57,6,-11.0
2020-07-17,4,-9,-57,5,-20.666666666666668
2020-07-18,-1,-3,-6,-5,-3.3333333333333335
