date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,4,3,-3,0,1.3333333333333333
2020-02-16,-7,-8,-8,1,-7.666666666666667
2020-02-17,1,-2,-19,4,-6.666666666666667
2020-02-18,5,-1,-18,3,-4.666666666666667
2020-02-19,6,1,-19,2,-4.0
2020-02-20,0,-2,-21,4,-7.666666666666667
2020-02-21,-2,-3,-23,4,-9.333333333333334
2020-02-22,-8,-3,-7,0,-6.0
2020-02-23,5,0,-1,-1,1.3333333333333333
2020-02-24,0,1,4,0,1.6666666666666667
2020-02-25,-1,-1,4,0,0.6666666666666666
2020-02-26,0,-2,3,0,0.3333333333333333
2020-02-27,1,0,4,0,1.6666666666666667
2020-02-28,20,4,2,-1,8.666666666666666
2020-02-29,12,-2,-1,0,3.0
2020-03-01,17,-5,-1,0,3.6666666666666665
2020-03-02,11,0,4,0,5.0
2020-03-03,11,-3,3,0,3.6666666666666665
2020-03-04,11,-2,3,0,4.0
2020-03-05,11,1,3,0,5.0
2020-03-06,8,0,3,0,3.6666666666666665
2020-03-07,14,1,1,-1,5.333333333333333
2020-03-08,4,-6,-3,0,-1.6666666666666667
2020-03-09,6,-1,2,1,2.3333333333333335
2020-03-10,2,0,1,1,1.0
2020-03-11,5,6,0,2,3.6666666666666665
2020-03-12,-10,29,-25,10,-2.0
2020-03-13,-28,-5,-41,14,-24.666666666666668
2020-03-14,-31,-4,-16,7,-17.0
2020-03-15,-36,-19,-24,8,-26.333333333333332
2020-03-16,-22,-8,-46,15,-25.333333333333332
2020-03-17,-27,-2,-48,16,-25.666666666666668
2020-03-18,-39,-15,-50,18,-34.666666666666664
2020-03-19,-39,-16,-51,18,-35.333333333333336
2020-03-20,-41,-19,-51,19,-37.0
2020-03-21,-44,-16,-24,10,-28.0
2020-03-22,-34,-19,-26,8,-26.333333333333332
2020-03-23,-32,-16,-51,17,-33.0
2020-03-24,-36,-16,-51,17,-34.333333333333336
2020-03-25,-35,-15,-50,17,-33.333333333333336
2020-03-26,-34,-12,-50,17,-32.0
2020-03-27,-36,-14,-51,17,-33.666666666666664
2020-03-28,-38,-10,-25,10,-24.333333333333332
2020-03-29,-34,-16,-26,8,-25.333333333333332
2020-03-30,-31,-13,-49,16,-31.0
2020-03-31,-22,1,-49,16,-23.333333333333332
2020-04-01,-28,-6,-49,16,-27.666666666666668
2020-04-02,-33,-10,-50,18,-31.0
2020-04-03,-31,-7,-50,17,-29.333333333333332
2020-04-04,-33,-5,-20,9,-19.333333333333332
2020-04-05,-18,-6,-20,6,-14.666666666666666
2020-04-06,-8,2,-54,14,-20.0
2020-04-07,-7,11,-55,14,-17.0
2020-04-08,1,19,-55,13,-11.666666666666666
2020-04-09,-32,-8,-81,21,-40.333333333333336
2020-04-10,-53,-28,-81,22,-54.0
