date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,-3,-2,-7,0,-4.0
2020-02-16,-7,-7,-8,2,-7.333333333333333
2020-02-17,-4,0,2,1,-0.6666666666666666
2020-02-18,-1,0,3,1,0.6666666666666666
2020-02-19,-1,0,4,0,1.0
2020-02-20,-4,-1,3,1,-0.6666666666666666
2020-02-21,2,0,2,0,1.3333333333333333
2020-02-22,-6,-3,-2,1,-3.6666666666666665
2020-02-23,-1,-2,-2,1,-1.6666666666666667
2020-02-24,-3,-2,3,1,-0.6666666666666666
2020-02-25,-5,-4,3,1,-2.0
2020-02-26,-2,-3,3,1,-0.6666666666666666
2020-02-27,2,1,3,0,2.0
2020-02-28,23,1,3,-1,9.0
2020-02-29,14,-2,2,-1,4.666666666666667
2020-03-01,26,-6,1,-1,7.0
2020-03-02,13,-5,1,0,3.0
2020-03-03,13,-5,2,0,3.3333333333333335
2020-03-04,13,-5,2,0,3.3333333333333335
2020-03-05,14,-3,2,0,4.333333333333333
2020-03-06,10,-5,1,0,2.0
2020-03-07,14,-2,0,-1,4.0
2020-03-08,14,-8,-2,0,1.3333333333333333
2020-03-09,9,-5,1,1,1.6666666666666667
2020-03-10,6,-5,1,2,0.6666666666666666
2020-03-11,9,3,0,1,4.0
2020-03-12,-5,22,-24,10,-2.3333333333333335
2020-03-13,-22,-8,-39,14,-23.0
2020-03-14,-27,-9,-14,7,-16.666666666666668
2020-03-15,-27,-24,-21,8,-24.0
2020-03-16,-21,-14,-45,15,-26.666666666666668
2020-03-17,-22,-6,-47,16,-25.0
2020-03-18,-37,-20,-49,18,-35.333333333333336
2020-03-19,-36,-21,-50,17,-35.666666666666664
2020-03-20,-39,-23,-51,18,-37.666666666666664
2020-03-21,-44,-20,-25,11,-29.666666666666668
2020-03-22,-31,-25,-27,9,-27.666666666666668
2020-03-23,-32,-20,-50,17,-34.0
2020-03-24,-32,-17,-50,17,-33.0
2020-03-25,-31,-18,-49,17,-32.666666666666664
2020-03-26,-32,-16,-49,17,-32.333333333333336
2020-03-27,-34,-18,-50,17,-34.0
2020-03-28,-38,-12,-26,10,-25.333333333333332
2020-03-29,-30,-22,-28,9,-26.666666666666668
2020-03-30,-29,-18,-49,16,-32.0
2020-03-31,-15,-1,-48,15,-21.333333333333332
2020-04-01,-26,-10,-49,16,-28.333333333333332
2020-04-02,-28,-12,-49,17,-29.666666666666668
2020-04-03,-28,-10,-49,17,-29.0
2020-04-04,-33,-8,-22,9,-21.0
2020-04-05,-12,-11,-22,6,-15.0
2020-04-06,-8,-4,-54,14,-22.0
2020-04-07,-4,5,-55,14,-18.0
2020-04-08,2,12,-56,13,-14.0
2020-04-09,-34,-13,-81,21,-42.666666666666664
2020-04-10,-56,-35,-81,22,-57.333333333333336
2020-04-11,-24,7,-20,8,-12.333333333333334
2020-04-12,-26,-18,-22,5,-22.0
2020-04-13,-51,-27,-82,23,-53.333333333333336
2020-04-14,-7,5,-45,14,-15.666666666666666
2020-04-15,-16,-3,-43,14,-20.666666666666668
2020-04-16,-17,-3,-42,14,-20.666666666666668
2020-04-17,-20,-6,-40,13,-22.0
2020-04-18,-25,-3,-11,6,-13.0
2020-04-19,-9,-11,-14,5,-11.333333333333334
2020-04-20,-7,-4,-36,11,-15.666666666666666
2020-04-21,-8,0,-35,11,-14.333333333333334
2020-04-22,-12,-3,-35,11,-16.666666666666668
2020-04-23,-12,-1,-34,11,-15.666666666666666
2020-04-24,-19,-5,-35,11,-19.666666666666668
2020-04-25,-22,-2,-10,5,-11.333333333333334
2020-04-26,-14,-12,-17,5,-14.333333333333334
2020-04-27,-13,-7,-35,11,-18.333333333333332
2020-04-28,-11,-5,-33,9,-16.333333333333332
2020-04-29,-18,-7,-34,12,-19.666666666666668
2020-04-30,-11,5,-34,12,-13.333333333333334
2020-05-01,-19,0,-45,14,-21.333333333333332
2020-05-02,-22,2,-12,6,-10.666666666666666
2020-05-03,-6,-8,-9,4,-7.666666666666667
2020-05-04,-9,-1,-30,9,-13.333333333333334
2020-05-05,-9,2,-29,9,-12.0
2020-05-06,-10,4,-29,9,-11.666666666666666
2020-05-07,2,19,-29,6,-2.6666666666666665
2020-05-08,-49,-27,-76,17,-50.666666666666664
2020-05-09,-9,14,-4,3,0.3333333333333333
2020-05-10,2,3,-4,1,0.3333333333333333
2020-05-11,-5,2,-28,9,-10.333333333333334
2020-05-12,-9,2,-27,10,-11.333333333333334
2020-05-13,-8,1,-26,9,-11.0
2020-05-14,-8,2,-26,8,-10.666666666666666
2020-05-15,-14,-2,-27,9,-14.333333333333334
2020-05-16,-18,2,-4,5,-6.666666666666667
2020-05-17,-8,-6,-5,4,-6.333333333333333
2020-05-18,-2,-2,-21,8,-8.333333333333334
2020-05-19,3,4,-19,6,-4.0
2020-05-20,17,16,-19,2,4.666666666666667
2020-05-21,-30,-15,-75,14,-40.0
2020-05-22,2,1,-59,13,-18.666666666666668
2020-05-23,-8,1,2,3,-1.6666666666666667
2020-05-24,-3,-6,-3,2,-4.0
2020-05-25,3,-1,-20,6,-6.0
2020-05-26,3,1,-17,5,-4.333333333333333
2020-05-27,2,1,-16,5,-4.333333333333333
2020-05-28,6,5,-15,4,-1.3333333333333333
2020-05-29,14,11,-14,1,3.6666666666666665
2020-05-30,7,16,13,-2,12.0
2020-05-31,-8,-6,1,-2,-4.333333333333333
2020-06-01,-23,-10,-76,13,-36.333333333333336
2020-06-02,27,22,-15,2,11.333333333333334
2020-06-03,15,9,-15,4,3.0
2020-06-04,18,18,-17,4,6.333333333333333
2020-06-05,-30,-21,-58,13,-36.333333333333336
2020-06-06,9,16,4,2,9.666666666666666
2020-06-07,9,-3,4,2,3.3333333333333335
2020-06-08,13,3,-15,4,0.3333333333333333
2020-06-09,12,4,-14,3,0.6666666666666666
2020-06-10,11,3,-14,3,0.0
2020-06-11,12,5,-15,4,0.6666666666666666
2020-06-12,6,1,-15,3,-2.6666666666666665
2020-06-13,-2,0,7,1,1.6666666666666667
2020-06-14,17,-3,11,-1,8.333333333333334
2020-06-15,19,6,-15,2,3.3333333333333335
2020-06-16,20,9,-14,1,5.0
2020-06-17,18,6,-14,2,3.3333333333333335
2020-06-18,17,6,-15,1,2.6666666666666665
2020-06-19,6,-1,-16,3,-3.6666666666666665
2020-06-20,5,3,7,-1,5.0
2020-06-21,22,0,9,-2,10.333333333333334
2020-06-22,24,7,-18,2,4.333333333333333
2020-06-23,21,10,-17,-1,4.666666666666667
2020-06-24,18,5,-16,1,2.3333333333333335
2020-06-25,21,9,-17,1,4.333333333333333
2020-06-26,10,-1,-16,0,-2.3333333333333335
2020-06-27,1,1,3,-3,1.6666666666666667
2020-06-28,20,1,1,-1,7.333333333333333
2020-06-29,26,6,-27,3,1.6666666666666667
2020-06-30,39,18,-28,3,9.666666666666666
2020-07-01,32,9,-28,3,4.333333333333333
2020-07-02,32,11,-29,2,4.666666666666667
2020-07-03,18,0,-31,3,-4.333333333333333
2020-07-04,7,1,-7,-1,0.3333333333333333
2020-07-05,25,0,-7,0,6.0
2020-07-06,39,9,-41,5,2.3333333333333335
2020-07-07,40,10,-41,5,3.0
2020-07-08,38,7,-40,4,1.6666666666666667
2020-07-09,35,7,-40,4,0.6666666666666666
2020-07-10,19,-2,-40,4,-7.666666666666667
2020-07-11,16,4,-4,-3,5.333333333333333
2020-07-12,33,2,-8,-2,9.0
2020-07-13,48,11,-53,5,2.0
2020-07-14,46,13,-54,7,1.6666666666666667
2020-07-15,43,9,-52,6,0.0
2020-07-16,41,9,-52,5,-0.6666666666666666
2020-07-17,20,-3,-51,4,-11.333333333333334
2020-07-18,14,4,-5,-4,4.333333333333333
2020-07-19,33,4,-8,-2,9.666666666666666
2020-07-20,54,17,-56,6,5.0
2020-07-21,55,16,-56,6,5.0
2020-07-22,47,10,-55,6,0.6666666666666666
2020-07-23,39,10,-55,7,-2.0
2020-07-24,22,-1,-55,7,-11.333333333333334
2020-07-25,14,3,-6,-3,3.6666666666666665
2020-07-26,31,1,-11,0,7.0
2020-07-27,42,10,-50,6,0.6666666666666666
2020-07-28,46,12,-49,7,3.0
2020-07-29,40,7,-49,7,-0.6666666666666666
2020-07-30,40,8,-49,6,-0.3333333333333333
2020-07-31,29,5,-47,2,-4.333333333333333
2020-08-01,17,8,-1,-5,8.0
2020-08-02,37,8,-4,-2,13.666666666666666
2020-08-03,42,13,-36,3,6.333333333333333
2020-08-04,41,14,-36,3,6.333333333333333
2020-08-05,38,10,-35,3,4.333333333333333
2020-08-06,31,10,-34,2,2.3333333333333335
2020-08-07,15,-1,-35,1,-7.0
2020-08-08,9,4,-2,-5,3.6666666666666665
2020-08-09,28,7,-1,-4,11.333333333333334
2020-08-10,27,11,-27,1,3.6666666666666665
2020-08-11,28,12,-25,1,5.0
2020-08-12,26,9,-24,1,3.6666666666666665
2020-08-13,21,8,-24,0,1.6666666666666667
2020-08-14,14,2,-24,-1,-2.6666666666666665
2020-08-15,6,4,-1,-5,3.0
2020-08-16,22,2,-3,-4,7.0
2020-08-17,19,5,-24,0,0.0
2020-08-18,19,6,-21,2,1.3333333333333333
2020-08-19,18,4,-21,1,0.3333333333333333
2020-08-20,15,3,-22,2,-1.3333333333333333
2020-08-21,11,-2,-22,1,-4.333333333333333
2020-08-22,5,1,-2,-2,1.3333333333333333
2020-08-23,17,-3,-7,-1,2.3333333333333335
2020-08-24,15,0,-19,2,-1.3333333333333333
2020-08-25,16,2,-19,1,-0.3333333333333333
2020-08-26,11,-1,-17,3,-2.3333333333333335
2020-08-27,17,2,-17,1,0.6666666666666666
2020-08-28,9,-2,-17,1,-3.3333333333333335
2020-08-29,8,-1,0,-2,2.3333333333333335
2020-08-30,24,-3,0,-2,7.0
2020-08-31,26,7,-15,0,6.0
