date,retail,grocery,workplaces,residential,nonresidential
2020-02-15,-3,0,-5,0,-2.6666666666666665
2020-02-16,-9,-7,-6,1,-7.333333333333333
2020-02-17,-3,-2,-7,2,-4.0
2020-02-18,-1,0,-6,1,-2.3333333333333335
2020-02-19,0,-1,-6,1,-2.3333333333333335
2020-02-20,-1,-2,-7,2,-3.3333333333333335
2020-02-21,0,0,-8,2,-2.6666666666666665
2020-02-22,-8,-3,-3,1,-4.666666666666667
2020-02-23,-2,-2,0,0,-1.3333333333333333
2020-02-24,-2,-1,2,1,-0.3333333333333333
2020-02-25,-1,-2,2,1,-0.3333333333333333
2020-02-26,-1,-1,2,1,0.0
2020-02-27,3,2,2,1,2.3333333333333335
2020-02-28,19,4,2,-1,8.333333333333334
2020-02-29,11,-1,-1,0,3.0
2020-03-01,20,-4,1,-1,5.666666666666667
2020-03-02,13,-4,1,0,3.3333333333333335
2020-03-03,11,-2,2,0,3.6666666666666665
2020-03-04,11,-4,1,1,2.6666666666666665
2020-03-05,13,-1,1,0,4.333333333333333
2020-03-06,8,-2,0,1,2.0
2020-03-07,11,1,1,0,4.333333333333333
2020-03-08,14,-4,-1,0,3.0
2020-03-09,7,-4,0,1,1.0
2020-03-10,6,-3,0,2,1.0
2020-03-11,10,6,-1,2,5.0
2020-03-12,-4,23,-25,11,-2.0
2020-03-13,-20,-6,-40,15,-22.0
2020-03-14,-24,-6,-13,7,-14.333333333333334
2020-03-15,-25,-19,-20,7,-21.333333333333332
2020-03-16,-18,-11,-48,16,-25.666666666666668
2020-03-17,-15,-1,-49,16,-21.666666666666668
2020-03-18,-32,-19,-52,19,-34.333333333333336
2020-03-19,-30,-18,-52,18,-33.333333333333336
2020-03-20,-35,-21,-53,19,-36.333333333333336
2020-03-21,-38,-17,-24,10,-26.333333333333332
2020-03-22,-30,-22,-25,8,-25.666666666666668
2020-03-23,-27,-19,-52,17,-32.666666666666664
2020-03-24,-26,-16,-52,17,-31.333333333333332
2020-03-25,-26,-16,-52,18,-31.333333333333332
2020-03-26,-25,-14,-52,18,-30.333333333333332
2020-03-27,-28,-16,-51,18,-31.666666666666668
2020-03-28,-32,-10,-24,10,-22.0
2020-03-29,-28,-17,-25,8,-23.333333333333332
2020-03-30,-23,-16,-51,17,-30.0
2020-03-31,-8,0,-50,15,-19.333333333333332
2020-04-01,-18,-10,-50,17,-26.0
2020-04-02,-20,-10,-51,18,-27.0
2020-04-03,-21,-9,-51,17,-27.0
2020-04-04,-24,-5,-21,9,-16.666666666666668
2020-04-05,-6,-8,-19,6,-11.0
2020-04-06,2,-3,-56,15,-19.0
2020-04-07,6,7,-56,15,-14.333333333333334
2020-04-08,13,16,-56,14,-9.0
2020-04-09,-28,-14,-80,22,-40.666666666666664
2020-04-10,-52,-34,-81,23,-55.666666666666664
2020-04-11,-11,9,-18,7,-6.666666666666667
2020-04-12,-24,-16,-19,5,-19.666666666666668
2020-04-13,-50,-29,-83,24,-54.0
2020-04-14,1,5,-45,14,-13.0
2020-04-15,-8,-3,-45,15,-18.666666666666668
2020-04-16,-9,-4,-44,15,-19.0
2020-04-17,-13,-6,-43,13,-20.666666666666668
2020-04-18,-16,0,-10,7,-8.666666666666666
2020-04-19,-6,-8,-12,4,-8.666666666666666
2020-04-20,0,-3,-38,12,-13.666666666666666
2020-04-21,-1,0,-37,11,-12.666666666666666
2020-04-22,-4,-1,-36,12,-13.666666666666666
2020-04-23,-3,-1,-36,11,-13.333333333333334
2020-04-24,-10,-3,-37,12,-16.666666666666668
2020-04-25,-12,4,-10,6,-6.0
2020-04-26,-6,-7,-11,4,-8.0
2020-04-27,-6,-7,-35,11,-16.0
2020-04-28,-6,-4,-34,9,-14.666666666666666
2020-04-29,-14,-8,-36,13,-19.333333333333332
2020-04-30,-12,3,-36,13,-15.0
2020-05-01,-13,3,-47,14,-19.0
2020-05-02,-18,4,-10,7,-8.0
2020-05-03,-5,-2,-4,3,-3.6666666666666665
2020-05-04,-9,0,-32,10,-13.666666666666666
2020-05-05,-11,3,-30,10,-12.666666666666666
2020-05-06,-8,5,-30,10,-11.0
2020-05-07,4,21,-30,7,-1.6666666666666667
2020-05-08,-48,-27,-76,18,-50.333333333333336
2020-05-09,-4,18,-2,3,4.0
2020-05-10,0,7,2,1,3.0
2020-05-11,-7,3,-29,10,-11.0
2020-05-12,-12,2,-28,10,-12.666666666666666
2020-05-13,-11,2,-27,9,-12.0
2020-05-14,-9,3,-27,8,-11.0
2020-05-15,-16,-1,-28,9,-15.0
2020-05-16,-18,4,-3,5,-5.666666666666667
2020-05-17,-11,-4,-2,4,-5.666666666666667
2020-05-18,-7,-1,-22,8,-10.0
2020-05-19,-2,4,-19,7,-5.666666666666667
2020-05-20,17,19,-19,3,5.666666666666667
2020-05-21,-32,-19,-76,17,-42.333333333333336
2020-05-22,8,8,-58,13,-14.0
2020-05-23,-5,5,6,3,2.0
2020-05-24,-4,-4,1,2,-2.3333333333333335
2020-05-25,0,0,-21,7,-7.0
2020-05-26,1,1,-17,5,-5.0
2020-05-27,2,2,-17,6,-4.333333333333333
2020-05-28,6,7,-16,5,-1.0
2020-05-29,13,13,-16,3,3.3333333333333335
2020-05-30,13,20,15,-1,16.0
2020-05-31,-11,-5,7,-1,-3.0
2020-06-01,-26,-15,-76,15,-39.0
2020-06-02,25,25,-16,3,11.333333333333334
2020-06-03,15,12,-16,5,3.6666666666666665
2020-06-04,22,22,-19,4,8.333333333333334
2020-06-05,-32,-24,-63,15,-39.666666666666664
2020-06-06,11,20,7,3,12.666666666666666
2020-06-07,9,-1,14,1,7.333333333333333
2020-06-08,9,5,-17,5,-1.0
2020-06-09,10,7,-16,4,0.3333333333333333
2020-06-10,8,6,-16,5,-0.6666666666666666
2020-06-11,9,8,-17,5,0.0
2020-06-12,4,4,-16,4,-2.6666666666666665
2020-06-13,1,5,13,1,6.333333333333333
2020-06-14,13,2,16,-1,10.333333333333334
2020-06-15,12,6,-16,3,0.6666666666666666
2020-06-16,14,8,-16,3,2.0
2020-06-17,12,7,-16,3,1.0
2020-06-18,14,7,-17,3,1.3333333333333333
2020-06-19,4,2,-18,3,-4.0
2020-06-20,-3,4,7,1,2.6666666666666665
2020-06-21,10,1,14,-1,8.333333333333334
2020-06-22,17,7,-20,3,1.3333333333333333
2020-06-23,17,12,-18,0,3.6666666666666665
2020-06-24,14,5,-17,2,0.6666666666666666
2020-06-25,18,10,-18,2,3.3333333333333335
2020-06-26,7,2,-18,1,-3.0
2020-06-27,4,7,8,-3,6.333333333333333
2020-06-28,8,2,6,-1,5.333333333333333
2020-06-29,18,6,-29,4,-1.6666666666666667
2020-06-30,31,15,-28,4,6.0
2020-07-01,28,9,-30,3,2.3333333333333335
2020-07-02,27,10,-31,4,2.0
2020-07-03,15,1,-32,3,-5.333333333333333
2020-07-04,4,1,-3,0,0.6666666666666666
2020-07-05,16,1,-1,0,5.333333333333333
2020-07-06,28,8,-41,6,-1.6666666666666667
2020-07-07,28,8,-41,6,-1.6666666666666667
2020-07-08,29,6,-39,5,-1.3333333333333333
2020-07-09,24,5,-40,5,-3.6666666666666665
2020-07-10,7,-2,-40,6,-11.666666666666666
2020-07-11,8,3,0,-2,3.6666666666666665
2020-07-12,17,1,-3,-1,5.0
2020-07-13,32,7,-49,6,-3.3333333333333335
2020-07-14,30,8,-49,6,-3.6666666666666665
2020-07-15,31,7,-48,7,-3.3333333333333335
2020-07-16,28,7,-48,6,-4.333333333333333
2020-07-17,11,-2,-48,4,-13.0
2020-07-18,7,3,0,-4,3.3333333333333335
2020-07-19,20,2,-1,-3,7.0
2020-07-20,37,13,-52,7,-0.6666666666666666
2020-07-21,39,13,-52,6,0.0
2020-07-22,35,8,-51,6,-2.6666666666666665
2020-07-23,30,8,-51,7,-4.333333333333333
2020-07-24,11,0,-51,8,-13.333333333333334
2020-07-25,7,0,-1,-3,2.0
2020-07-26,12,0,-7,0,1.6666666666666667
2020-07-27,28,6,-48,7,-4.666666666666667
2020-07-28,31,8,-46,6,-2.3333333333333335
2020-07-29,28,6,-48,8,-4.666666666666667
2020-07-30,30,8,-47,7,-3.0
2020-07-31,24,7,-46,3,-5.0
2020-08-01,13,6,1,-4,6.666666666666667
2020-08-02,26,7,1,-3,11.333333333333334
2020-08-03,32,10,-37,4,1.6666666666666667
2020-08-04,32,12,-36,4,2.6666666666666665
2020-08-05,33,7,-36,4,1.3333333333333333
2020-08-06,29,8,-36,3,0.3333333333333333
2020-08-07,16,0,-36,2,-6.666666666666667
2020-08-08,9,2,0,-4,3.6666666666666665
2020-08-09,25,5,3,-3,11.0
2020-08-10,21,8,-27,2,0.6666666666666666
2020-08-11,23,7,-25,2,1.6666666666666667
2020-08-12,20,5,-25,2,0.0
2020-08-13,20,5,-25,2,0.0
2020-08-14,10,1,-25,0,-4.666666666666667
2020-08-15,6,1,0,-4,2.3333333333333335
2020-08-16,18,1,1,-3,6.666666666666667
2020-08-17,13,2,-25,1,-3.3333333333333335
2020-08-18,13,2,-21,2,-2.0
2020-08-19,13,0,-22,2,-3.0
2020-08-20,12,0,-23,2,-3.6666666666666665
2020-08-21,6,-2,-23,2,-6.333333333333333
2020-08-22,3,-2,0,-2,0.3333333333333333
2020-08-23,11,-4,-1,-1,2.0
2020-08-24,7,-4,-21,2,-6.0
2020-08-25,11,-2,-19,1,-3.3333333333333335
2020-08-26,6,-4,-18,3,-5.333333333333333
2020-08-27,7,-5,-20,3,-6.0
