"day","date","name"
3,2020-01-01,"New Year's Day"
7,2020-02-23,"Carnival"
7,2020-04-05,"Palm Sunday"
4,2020-04-09,"Maundy Thursday"
5,2020-04-10,"Good Friday"
7,2020-04-12,"Easter"
1,2020-04-13,"Easter Monday"
5,2020-05-01,"Labor Day / May Day"
5,2020-05-08,"Great Prayer Day"
4,2020-05-21,"Ascension Day"
7,2020-05-31,"Whit Sunday"
1,2020-06-01,"Whit Monday"
5,2020-06-05,"Constitution Day"
4,2020-12-24,"Christmas Eve"
5,2020-12-25,"Christmas"
6,2020-12-26,"Christmas Day Holiday"
4,2020-12-31,"New Year's Eve"
5,2021-01-01,"New Year's Day"
7,2021-02-14,"Carnival"
4,2021-04-01,"Maundy Thursday"
5,2021-04-02,"Good Friday"
7,2021-04-04,"Easter"
1,2021-04-05,"Easter Monday"
3,2021-04-28,"Palm Sunday"
5,2021-04-30,"Great Prayer Day"
6,2021-05-01,"Labor Day / May Day"
4,2021-05-13,"Ascension Day"
7,2021-05-23,"Whit Sunday"
6,2021-06-05,"Constitution Day"
4,2021-06-24,"Whit Monday"
5,2021-12-24,"Christmas Eve"
6,2021-12-25,"Christmas"
7,2021-12-26,"Christmas Day Holiday"
5,2021-12-31,"New Year's Eve"
