date,apple_driving,apple_transit,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,0.0,-0.46779862489545293,-1.5613909290313228,0.0,-0.5286100578940327,-0.26430502894701635
2020-02-19,0.030841582953291532,0.03981086500662627,0.08032275040199163,0.05182491952135776,0.05359239672942486,-0.40282659365997336,-1.5413730966078445,-0.024060456438627763,-0.4802615769890906,-0.21421832873386643
2020-02-20,0.030436439006451054,0.01839362750306295,0.09185949159554821,0.048542505421734855,0.09378669427649351,-0.3508489686715897,-1.521355264184366,-0.04812091287725553,-0.441582792265137,-0.1965201434217011
2020-02-21,-0.019446909448381365,-0.03925653650653359,-0.023218295038074505,-0.027815921545253048,0.006699049591178105,-0.37683778116578154,-1.401248269643495,-0.07218136931588325,-0.4512524884461254,-0.23953420499568923
2020-02-22,-0.07566063207260837,-0.09282482701545057,-0.09292145103595661,-0.08901433287687163,-0.046893347138246756,-0.3118657499303019,-1.2511145264674062,-0.12030228219313881,-0.41257370372217184,-0.25079401829952175
2020-02-23,-0.135520650218407,-0.15873952502642277,-0.16494160944928046,-0.15638842022066785,-0.0803885950941373,-0.2858769374361101,-1.1009807832913172,-0.1924836515090221,-0.3738949189982182,-0.265141669609443
2020-02-24,-0.17973198341746038,-0.21160230653522155,-0.22252877364974719,-0.20909316207800624,-0.10048574386767162,-0.24689371869482238,-0.960855956326968,-0.2646650208249054,-0.3287696701536057,-0.26893141611580595
2020-02-25,-0.20383804825451637,-0.25221946754198304,-0.29203884611300934,-0.2551484774345634,-0.12728194223238407,-0.22090490620063055,-0.8207311293626185,-0.3127859337021609,-0.2900908854296521,-0.2726196814321078
2020-02-26,-0.2023694014472162,-0.2932901700488193,-0.3244286090455431,-0.27980042250234577,-0.09378669427649351,-0.1819216874593428,-0.8007132969391398,-0.33684639014078865,-0.2578585648263574,-0.2688294936643516
2020-02-27,-0.2067246988757605,-0.3019578520502626,-0.30338250377194453,-0.2767887229676403,-0.04019429754706865,-0.12994406247095916,-0.7806954645156614,-0.3609068465794164,-0.21273331598174486,-0.2447610194746926
2020-02-28,-0.22753896914473146,-0.32191367805358373,-0.28754965393309023,-0.28489324025485235,0.006699049591178105,-0.06497203123547958,-0.7506687158804437,-0.3849673030180442,-0.16438483507680285,-0.2246390376658276
