date,region,apple_driving,apple_transit,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google
2020-02-15,Denmark,104.27,112.56,125.1,113.97666666666667,-2,-1,-6,0,-3.0
2020-02-15,France,126.61,117.34,126.34,123.42999999999999,-2,-1,-2,-1,-1.6666666666666667
2020-02-15,Germany,128.0,125.2,161.49,138.23,6,1,0,-1,2.3333333333333335
2020-02-15,Hungary,137.99,,213.12,175.555,14,6,4,-2,8.0
2020-02-15,Italy,145.29,130.72,194.34,156.78333333333333,3,-1,0,-1,0.6666666666666666
2020-02-15,Sweden,139.42,118.27,133.07,130.25333333333333,2,0,-2,0,0.0
2020-02-15,United Kingdom,109.55,119.0,152.82,127.12333333333333,-12,-7,-4,2,-7.666666666666667
2020-02-15,United States,132.51,107.77,158.55,132.94333333333333,6,2,2,-1,3.3333333333333335
2020-02-16,Denmark,98.93,107.51,81.17,95.87,-7,-7,-6,1,-6.666666666666667
2020-02-16,France,96.71,101.79,74.44,90.98,6,2,-1,-1,2.3333333333333335
2020-02-16,Germany,109.63,114.91,98.68,107.74000000000001,7,10,-1,0,5.333333333333333
2020-02-16,Hungary,120.76,,157.31,139.035,20,10,3,-2,11.0
2020-02-16,Italy,132.32,125.6,144.17,134.03,3,2,1,-2,2.0
2020-02-16,Sweden,131.24,112.72,85.68,109.88,-10,-7,-5,2,-7.333333333333333
2020-02-16,United Kingdom,101.42,109.71,98.69,103.27333333333333,-7,-6,-3,1,-5.333333333333333
2020-02-16,United States,102.27,91.63,116.26,103.38666666666666,7,1,0,-1,2.6666666666666665
2020-02-17,Denmark,102.21,105.58,97.36,101.71666666666665,-3,-1,-2,1,-2.0
2020-02-17,France,100.32,118.54,86.9,101.92,1,2,-15,4,-4.0
2020-02-17,Germany,108.0,157.64,111.55,125.73,2,2,-2,0,0.6666666666666666
2020-02-17,Hungary,115.33,,154.17,134.75,6,4,3,0,4.333333333333333
2020-02-17,Italy,110.43,119.01,123.94,117.79333333333334,0,1,1,0,0.6666666666666666
2020-02-17,Sweden,108.78,109.38,103.01,107.05666666666667,-4,-3,-6,2,-4.333333333333333
2020-02-17,United Kingdom,118.6,119.36,128.1,122.02,10,1,-14,2,-1.0
2020-02-17,United States,110.78,101.73,107.52,106.67666666666668,6,0,-24,5,-6.0
2020-02-18,Denmark,107.19,111.99,107.58,108.92,1,1,-1,1,0.3333333333333333
2020-02-18,France,100.83,118.54,95.91,105.09333333333335,5,2,-14,3,-2.3333333333333335
2020-02-18,Germany,109.42,140.18,115.71,121.77,2,2,-1,1,1.0
2020-02-18,Hungary,116.53,,155.29,135.91,5,4,2,0,3.6666666666666665
2020-02-18,Italy,112.72,118.0,131.03,120.58333333333333,3,1,1,0,1.6666666666666667
2020-02-18,Sweden,110.86,111.73,109.35,110.64666666666666,0,0,-5,1,-1.6666666666666667
2020-02-18,United Kingdom,119.26,118.76,130.01,122.67666666666666,7,-1,-14,2,-2.6666666666666665
2020-02-18,United States,109.46,104.64,100.23,104.77666666666666,0,-1,0,1,-0.3333333333333333
2020-02-19,Denmark,110.27,114.15,117.17,113.86333333333334,0,0,-1,1,-0.3333333333333333
2020-02-19,France,102.03,116.32,94.03,104.12666666666667,-4,-3,-12,2,-6.333333333333333
2020-02-19,Germany,110.81,132.15,109.61,117.52333333333335,3,0,-1,1,0.6666666666666666
2020-02-19,Hungary,118.15,,151.08,134.615,3,2,2,-1,2.3333333333333335
2020-02-19,Italy,118.28,120.44,132.99,123.90333333333335,0,-1,1,0,0.0
2020-02-19,Sweden,116.62,111.12,116.71,114.81666666666666,3,1,-5,1,-0.3333333333333333
2020-02-19,United Kingdom,121.56,121.93,136.18,126.55666666666667,6,-2,-14,3,-3.3333333333333335
2020-02-19,United States,110.85,105.16,103.21,106.40666666666668,2,0,1,0,1.0
2020-02-20,Denmark,112.79,122.5,120.13,118.47333333333334,1,-1,-2,1,-0.6666666666666666
2020-02-20,France,104.31,118.49,99.23,107.34333333333335,-2,-1,-15,3,-6.0
2020-02-20,Germany,108.14,135.25,121.49,121.62666666666667,2,-1,-4,1,-1.0
2020-02-20,Hungary,121.46,,154.68,138.07,4,2,2,0,2.6666666666666665
2020-02-20,Italy,120.67,124.06,142.68,129.13666666666668,2,1,1,0,1.3333333333333333
2020-02-20,Sweden,119.94,108.83,110.84,113.20333333333333,1,1,-6,1,-1.3333333333333333
2020-02-20,United Kingdom,118.33,118.81,131.67,122.93666666666667,5,-2,-14,3,-3.6666666666666665
2020-02-20,United States,114.86,106.16,106.25,109.08999999999999,1,0,0,1,0.3333333333333333
2020-02-21,Denmark,118.37,130.37,145.54,131.42666666666665,1,1,-3,1,-0.3333333333333333
2020-02-21,France,118.42,125.78,108.42,117.54,-1,-2,-15,3,-6.0
2020-02-21,Germany,125.52,145.98,131.42,134.30666666666664,2,2,-8,2,-1.3333333333333333
2020-02-21,Hungary,137.21,,177.67,157.44,2,2,1,0,1.6666666666666667
2020-02-21,Italy,135.58,126.36,158.11,140.01666666666668,1,1,0,-1,0.6666666666666666
2020-02-21,Sweden,127.9,112.67,129.4,123.32333333333334,5,0,-7,1,-0.6666666666666666
2020-02-21,United Kingdom,127.35,126.56,152.89,135.6,5,-1,-15,3,-3.6666666666666665
2020-02-21,United States,135.85,117.14,136.41,129.79999999999998,2,-2,0,0,0.0
2020-02-22,Denmark,109.78,124.55,123.99,119.44,-6,-3,-3,1,-4.0
2020-02-22,France,127.73,127.21,120.95,125.29666666666667,-6,-2,-5,-1,-4.333333333333333
2020-02-22,Germany,119.65,149.75,149.93,139.77666666666667,-1,-2,-3,0,-2.0
2020-02-22,Hungary,133.62,,197.02,165.32,8,3,3,-1,4.666666666666667
2020-02-22,Italy,139.43,126.83,181.74,149.33333333333334,-1,3,0,-1,0.6666666666666666
2020-02-22,Sweden,140.44,114.66,117.79,124.29666666666667,0,-1,-3,1,-1.3333333333333333
2020-02-22,United Kingdom,115.64,126.9,169.46,137.33333333333334,-4,-2,-2,1,-2.6666666666666665
2020-02-22,United States,134.35,110.65,162.45,135.81666666666663,7,3,4,-1,4.666666666666667
2020-02-23,Denmark,103.25,106.04,88.97,99.42,1,-2,0,0,-0.3333333333333333
2020-02-23,France,97.72,108.53,75.84,94.03000000000002,8,7,-1,-1,4.666666666666667
2020-02-23,Germany,99.22,127.86,93.4,106.82666666666667,0,9,-3,0,2.0
2020-02-23,Hungary,119.17,,148.71,133.94,11,6,2,-2,6.333333333333333
2020-02-23,Italy,114.78,113.18,129.3,119.08666666666666,-5,16,1,0,4.0
2020-02-23,Sweden,135.95,109.64,93.14,112.90999999999998,2,0,-1,0,0.3333333333333333
2020-02-23,United Kingdom,101.34,105.46,101.08,102.62666666666667,-1,-2,-1,0,-1.3333333333333333
2020-02-23,United States,99.48,87.27,106.11,97.62,7,3,2,-1,4.0
2020-02-24,Denmark,103.9,102.94,100.38,102.40666666666668,-2,-1,2,0,-0.3333333333333333
2020-02-24,France,99.66,115.31,88.4,101.12333333333333,3,3,-15,3,-3.0
2020-02-24,Germany,102.49,129.82,114.25,115.52,2,-5,-20,4,-7.666666666666667
2020-02-24,Hungary,111.98,,142.09,127.035,2,4,3,0,3.0
2020-02-24,Italy,98.2,96.25,107.66,100.70333333333333,-4,23,-14,4,1.6666666666666667
2020-02-24,Sweden,109.91,103.29,102.01,105.07000000000001,2,0,-4,1,-0.6666666666666666
2020-02-24,United Kingdom,108.75,107.92,104.26,106.97666666666667,-3,-1,-2,1,-2.0
2020-02-24,United States,106.23,99.21,99.34,101.59333333333332,2,1,3,0,2.0
2020-02-25,Denmark,110.44,104.58,98.78,104.60000000000001,-3,-3,3,1,-1.0
2020-02-25,France,99.4,115.9,89.42,101.57333333333334,1,1,-14,4,-4.0
2020-02-25,Germany,105.39,128.68,106.82,113.63,-1,-1,-13,4,-5.0
2020-02-25,Hungary,113.21,,145.36,129.285,5,6,3,-1,4.666666666666667
2020-02-25,Italy,92.5,81.28,94.26,89.34666666666665,-6,5,-15,5,-5.333333333333333
2020-02-25,Sweden,113.16,103.16,103.6,106.63999999999999,8,9,-4,1,4.333333333333333
2020-02-25,United Kingdom,108.16,108.13,115.57,110.62,-1,4,1,0,1.3333333333333333
2020-02-25,United States,110.27,100.12,103.03,104.47333333333334,4,1,2,0,2.3333333333333335
2020-02-26,Denmark,110.13,106.09,107.83,108.01666666666665,-2,-2,3,1,-0.3333333333333333
2020-02-26,France,100.49,120.41,90.61,103.83666666666666,-5,-2,-12,3,-6.333333333333333
2020-02-26,Germany,104.39,123.84,99.85,109.36000000000001,-3,0,-5,2,-2.6666666666666665
2020-02-26,Hungary,112.38,,130.52,121.45,-3,5,1,1,1.0
2020-02-26,Italy,89.15,74.29,82.94,82.12666666666667,-13,-5,-12,6,-10.0
2020-02-26,Sweden,114.81,104.21,106.05,108.35666666666667,5,2,-4,1,1.0
2020-02-26,United Kingdom,109.74,108.85,121.26,113.28333333333335,1,0,1,0,0.6666666666666666
2020-02-26,United States,112.36,100.52,101.84,104.90666666666665,7,2,2,-1,3.6666666666666665
2020-02-27,Denmark,112.25,104.81,115.52,110.86,2,1,3,0,2.0
2020-02-27,France,99.76,121.51,90.86,104.04333333333334,-5,-1,-15,4,-7.0
2020-02-27,Germany,110.47,128.01,104.58,114.35333333333334,-5,3,-4,2,-2.0
2020-02-27,Hungary,114.67,,137.68,126.17500000000001,3,10,2,0,5.0
