date,region,apple_driving,apple_walking,apple_transit,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco
2020-02-15,capital,96.6,131.37,113.66,113.87666666666667,-3,-3,-5,0,-3.6666666666666665,1.1277008633564293e7
2020-02-15,central,104.77,115.38,103.14,107.76333333333332,-4,-2,-9,0,-5.0,8.609527217175432e6
2020-02-15,north,121.05,124.17,,122.61,4,3,-3,0,1.3333333333333333,4.1290882841084753e6
2020-02-15,zealand,106.34,109.76,127.85,114.65000000000002,-3,0,-5,0,-2.6666666666666665,4.425371352583435e6
2020-02-15,south,110.74,112.46,105.88,109.69333333333333,-3,-2,-7,0,-4.0,7.7444636142788725e6
2020-02-16,capital,91.33,83.88,102.69,92.63333333333333,-7,-7,-4,1,-6.0,9.844929788886636e6
2020-02-16,central,100.34,73.97,117.01,97.10666666666667,-11,-6,-7,2,-8.0,7.301867333297163e6
2020-02-16,north,103.92,72.42,,88.17,-7,-8,-8,1,-7.666666666666667,3.413521516380903e6
2020-02-16,zealand,105.7,79.66,117.99,101.11666666666667,-9,-7,-6,1,-7.333333333333333,3.7431167119682315e6
2020-02-16,south,106.2,80.04,127.16,104.46666666666665,-7,-7,-8,2,-7.333333333333333,6.645017279661719e6
2020-02-17,capital,98.78,97.07,103.01,99.62,-1,-1,0,1,-0.6666666666666666,1.376495422398897e7
2020-02-17,central,105.07,96.75,109.57,103.79666666666667,-6,-2,3,1,-1.6666666666666667,1.0673453633150151e7
2020-02-17,north,105.12,95.4,,100.26,1,-2,-19,4,-6.666666666666667,4.282166924654637e6
2020-02-17,zealand,100.58,98.69,112.77,104.01333333333332,-3,-2,-7,2,-4.0,5.037943403556856e6
2020-02-17,south,106.28,97.31,115.02,106.20333333333333,-4,0,2,1,-0.6666666666666666,9.609296806815261e6
2020-02-18,capital,105.4,108.06,109.79,107.75,2,2,1,0,1.6666666666666667,1.4193256425450407e7
2020-02-18,central,109.93,107.14,117.35,111.47333333333331,-3,1,3,0,0.3333333333333333,1.0947058453713942e7
2020-02-18,north,105.9,100.82,,103.36,5,-1,-18,3,-4.666666666666667,4.413955915065264e6
2020-02-18,zealand,104.75,99.62,120.74,108.37,-1,0,-6,1,-2.3333333333333335,5.132742887871856e6
2020-02-18,south,109.88,111.39,118.15,113.13999999999999,-1,0,3,1,0.6666666666666666,9.897061402789362e6
2020-02-19,capital,109.15,121.42,115.4,115.32333333333334,2,-2,0,1,0.0,1.429583457518006e7
2020-02-19,central,112.47,114.64,111.55,112.88666666666667,-1,1,3,0,1.0,1.1056887831040446e7
2020-02-19,north,113.05,111.27,,112.16,6,1,-19,2,-4.0,4.499634819781097e6
2020-02-19,zealand,106.63,104.83,117.74,109.73333333333333,0,-1,-6,1,-2.3333333333333335,5.137677128416503e6
2020-02-19,south,111.07,108.42,111.5,110.33,-1,0,4,0,1.0,1.0084355891665014e7
2020-02-20,capital,114.37,131.61,127.23,124.40333333333335,8,-2,0,1,2.0,1.442065093466188e7
2020-02-20,central,113.93,110.96,112.82,112.57,-2,0,3,1,0.3333333333333333,1.1062429777666342e7
2020-02-20,north,109.78,98.5,,104.14,0,-2,-21,4,-7.666666666666667,4.370745820904824e6
2020-02-20,zealand,104.94,93.69,114.57,104.39999999999999,-1,-2,-7,2,-3.3333333333333335,5.1263654890146535e6
2020-02-20,south,114.23,103.59,109.52,109.11333333333333,-4,-1,3,1,-0.6666666666666666,9.973243219821278e6
2020-02-21,capital,113.84,156.62,133.4,134.62,3,1,0,1,1.3333333333333333,1.4758916356747076e7
2020-02-21,central,125.03,141.45,124.52,130.33333333333334,-1,1,3,0,1.0,1.1461796007507235e7
2020-02-21,north,114.24,112.48,,113.36,-2,-3,-23,4,-9.333333333333334,4.561245936734646e6
2020-02-21,zealand,111.68,117.49,122.62,117.26333333333334,0,0,-8,2,-2.6666666666666665,5.425097794004099e6
2020-02-21,south,126.25,126.79,122.81,125.28333333333335,2,0,2,0,1.3333333333333333,1.029417718744498e7
2020-02-22,capital,103.14,131.99,128.07,121.06666666666666,-7,-5,-2,1,-4.666666666666667,1.1580290714010064e7
2020-02-22,central,119.52,119.47,116.56,118.51666666666667,-5,0,-1,1,-2.0,9.018480369243218e6
2020-02-22,north,109.28,100.08,,104.68,-8,-3,-7,0,-6.0,3.8954622292511384e6
2020-02-22,zealand,101.89,101.81,127.34,110.34666666666665,-8,-3,-3,1,-4.666666666666667,4.406624637177567e6
2020-02-22,south,118.52,112.83,112.97,114.77333333333333,-6,-3,-2,1,-3.6666666666666665,7.9469009109345e6
2020-02-23,capital,93.71,89.75,101.52,94.99333333333333,0,-1,2,0,0.3333333333333333,1.0460811097766759e7
2020-02-23,central,109.99,86.44,117.27,104.56666666666666,1,0,0,0,0.3333333333333333,8.105600039871477e6
2020-02-23,north,111.81,93.45,,102.63,5,0,-1,-1,1.3333333333333333,3.7387862888139416e6
2020-02-23,zealand,107.27,87.72,117.14,104.04333333333334,-2,-2,0,0,-1.3333333333333333,4.024472866817284e6
2020-02-23,south,108.85,82.31,114.7,101.95333333333333,-1,-2,-2,1,-1.6666666666666667,7.14342051045603e6
2020-02-24,capital,101.11,97.98,98.22,99.10333333333334,0,-1,2,0,0.3333333333333333,1.4007943676051943e7
2020-02-24,central,106.26,100.72,111.21,106.06333333333333,-2,0,3,0,0.3333333333333333,1.0692970367925327e7
2020-02-24,north,106.58,109.96,,108.27,0,1,4,0,1.6666666666666667,4.790572881125615e6
2020-02-24,zealand,103.8,100.22,127.68,110.56666666666666,-2,-1,2,1,-0.3333333333333333,5.285692497445647e6
2020-02-24,south,105.85,104.41,114.38,108.21333333333332,-3,-2,3,1,-0.6666666666666666,9.687314172296321e6
2020-02-25,capital,109.22,97.85,101.83,102.96666666666665,-2,-2,2,1,-0.6666666666666666,1.4031981352159275e7
2020-02-25,central,110.39,97.22,119.03,108.88,-7,-3,2,1,-2.6666666666666665,1.0663090223516079e7
2020-02-25,north,108.29,107.56,,107.92500000000001,-1,-1,4,0,0.6666666666666666,4.916704411174098e6
2020-02-25,zealand,117.58,103.07,110.8,110.48333333333333,-1,-2,2,1,-0.3333333333333333,5.234040881707381e6
2020-02-25,south,108.91,97.79,107.86,104.85333333333334,-5,-4,3,1,-2.0,9.578105509096e6
2020-02-26,capital,108.78,109.33,101.96,106.69,0,-2,3,1,0.3333333333333333,1.4355400091335546e7
2020-02-26,central,113.41,108.25,126.36,116.00666666666666,-4,-2,3,1,-1.0,1.087357344972034e7
2020-02-26,north,110.32,108.09,,109.205,0,-2,3,0,0.3333333333333333,4.955610349784546e6
2020-02-26,zealand,107.47,100.41,114.91,107.59666666666665,-1,-1,2,1,0.0,5.343034731495581e6
2020-02-26,south,110.84,103.14,106.39,106.79,-2,-3,3,1,-0.6666666666666666,9.764502601922458e6
2020-02-27,capital,109.53,114.41,100.32,108.08666666666666,3,2,2,0,2.3333333333333335,1.4536901319010332e7
2020-02-27,central,116.21,131.35,127.4,124.98666666666668,2,1,2,0,1.6666666666666667,1.1269026731029749e7
2020-02-27,north,111.11,109.71,,110.41,1,0,4,0,1.6666666666666667,4.991356583184649e6
2020-02-27,zealand,115.07,104.13,116.88,112.02666666666666,3,2,2,1,2.3333333333333335,5.434086191751582e6
2020-02-27,south,112.11,107.67,102.24,107.33999999999999,2,1,3,0,2.0,1.003234702340165e7
2020-02-28,capital,118.47,148.22,115.51,127.39999999999999,12,-2,2,0,4.0,1.503451224361786e7
2020-02-28,central,134.13,156.72,149.64,146.83,17,-1,2,-1,6.0,1.1880176616804559e7
2020-02-28,north,129.58,153.9,,141.74,20,4,2,-1,8.666666666666666,5.34940140105339e6
2020-02-28,zealand,115.17,132.29,129.48,125.64666666666665,19,4,2,-1,8.333333333333334,5.807867838560742e6
2020-02-28,south,129.27,139.8,124.09,131.05333333333337,23,1,3,-1,9.0,1.073713297217056e7
2020-02-29,capital,108.5,139.43,122.59,123.50666666666666,5,-7,1,0,-0.3333333333333333,1.2063532023893703e7
2020-02-29,central,122.83,135.09,119.89,125.93666666666667,11,-3,0,0,2.6666666666666665,9.395607233098906e6
2020-02-29,north,119.34,119.84,,119.59,12,-2,-1,0,3.0,4.222978595599201e6
2020-02-29,zealand,111.9,117.86,126.82,118.86,11,-1,-1,0,3.0,4.808268135939214e6
2020-02-29,south,126.81,132.08,108.75,122.54666666666667,14,-2,2,-1,4.666666666666667,8.484496447124919e6
2020-03-01,capital,100.17,98.16,100.78,99.70333333333333,20,-9,2,0,4.333333333333333,1.099125898516416e7
2020-03-01,central,110.77,89.13,113.57,104.49,17,-8,-1,0,2.6666666666666665,8.217640586765936e6
2020-03-01,north,111.24,91.4,,101.32,17,-5,-1,0,3.6666666666666665,3.7996952830649507e6
2020-03-01,zealand,114.02,94.65,123.14,110.60333333333334,20,-4,1,-1,5.666666666666667,4.264467428031447e6
2020-03-01,south,115.25,95.61,115.72,108.86000000000001,26,-6,1,-1,7.0,7.526544373296681e6
2020-03-02,capital,100.51,101.29,94.54,98.78000000000002,12,-7,2,0,2.3333333333333335,1.4215924474421935e7
2020-03-02,central,106.11,107.32,111.4,108.27666666666669,11,-7,2,0,2.0,1.090391156477541e7
2020-03-02,north,105.79,112.83,,109.31,11,0,4,0,5.0,4.91990195062811e6
2020-03-02,zealand,105.43,106.5,108.4,106.77666666666669,13,-4,1,0,3.3333333333333335,5.4041455441096835e6
2020-03-02,south,104.57,109.46,112.08,108.70333333333332,13,-5,1,0,3.0,9.862650294130458e6
2020-03-03,capital,104.08,102.18,99.05,101.77,7,-6,2,0,1.0,1.4261756712936657e7
2020-03-03,central,112.08,106.19,115.18,111.14999999999999,8,-7,2,0,1.0,1.083987759929951e7
2020-03-03,north,112.49,112.65,,112.57,11,-3,3,0,3.6666666666666665,4.884156864061642e6
2020-03-03,zealand,107.61,113.4,117.74,112.91666666666667,11,-2,2,0,3.6666666666666665,5.3878602030712e6
2020-03-03,south,111.03,117.12,108.5,112.21666666666665,13,-5,2,0,3.3333333333333335,9.900209056088025e6
2020-03-04,capital,105.74,106.7,98.28,103.57333333333334,8,-7,2,1,1.0,1.451846010269755e7
2020-03-04,central,111.45,118.6,109.83,113.29333333333334,10,-6,2,0,2.0,1.1136327324844606e7
2020-03-04,north,118.75,128.38,,123.565,11,-2,3,0,4.0,4.980933216474313e6
2020-03-04,zealand,108.24,108.77,116.45,111.15333333333332,11,-4,1,1,2.6666666666666665,5.415385429353297e6
2020-03-04,south,111.61,119.31,109.78,113.56666666666668,13,-5,2,0,3.3333333333333335,9.989387129689196e6
2020-03-05,capital,106.4,112.64,101.19,106.74333333333334,8,-5,2,0,1.6666666666666667,1.4582903248939604e7
2020-03-05,central,115.07,122.92,110.95,116.31333333333333,11,-5,1,0,2.3333333333333335,1.1213030496442024e7
2020-03-05,north,114.25,134.52,,124.385,11,1,3,0,5.0,5.0542945524627995e6
2020-03-05,zealand,110.04,110.94,111.31,110.76333333333334,13,-1,1,0,4.333333333333333,5.445861688287255e6
2020-03-05,south,114.06,114.73,104.54,111.11000000000001,14,-3,2,0,4.333333333333333,1.01552224938571e7
2020-03-06,capital,110.99,139.56,113.97,121.50666666666666,2,-5,1,1,-0.6666666666666666,1.4614494176289305e7
2020-03-06,central,127.82,139.66,119.81,129.09666666666666,9,-5,1,0,1.6666666666666667,1.1414726497891162e7
2020-03-06,north,124.96,142.22,,133.59,8,0,3,0,3.6666666666666665,5.150088399185401e6
2020-03-06,zealand,112.42,126.64,125.28,121.44666666666667,8,-2,0,1,2.0,5.574868827159645e6
2020-03-06,south,127.05,129.52,112.78,123.11666666666667,10,-5,1,0,2.0,1.0285298314556038e7
2020-03-07,capital,105.33,146.16,110.72,120.73666666666668,5,-4,1,0,0.6666666666666666,1.2269640877420915e7
2020-03-07,central,122.52,138.79,106.36,122.55666666666667,11,-2,0,-1,3.0,9.600017142362667e6
2020-03-07,north,123.66,140.39,,132.02499999999998,14,1,1,-1,5.333333333333333,4.37288396315569e6
2020-03-07,zealand,112.51,137.52,120.82,123.61666666666667,11,1,1,0,4.333333333333333,4.926857655003862e6
2020-03-07,south,117.9,134.97,100.77,117.88,14,-2,0,-1,4.0,8.560740335129522e6
2020-03-08,capital,95.12,92.55,93.69,93.78666666666668,9,-8,-1,0,0.0,1.061386025648852e7
2020-03-08,central,110.93,87.24,100.82,99.66333333333334,9,-10,-3,1,-1.3333333333333333,7.919147972927213e6
2020-03-08,north,110.51,80.86,,95.685,4,-6,-3,0,-1.6666666666666667,3.6390413849469484e6
2020-03-08,zealand,111.83,92.96,122.28,109.02333333333333,14,-4,-1,0,3.0,4.224121006853298e6
2020-03-08,south,109.0,87.81,105.3,100.70333333333333,14,-8,-2,0,1.3333333333333333,7.141593255108635e6
2020-03-09,capital,96.59,91.76,90.17,92.84000000000002,3,-9,0,2,-2.0,1.3758064952333545e7
2020-03-09,central,105.81,103.12,109.87,106.26666666666667,6,-7,1,1,0.0,1.0762415678006267e7
2020-03-09,north,106.6,107.76,,107.18,6,-1,2,1,2.3333333333333335,4.904126844151814e6
2020-03-09,zealand,103.09,108.35,105.06,105.5,7,-4,0,1,1.0,5.288850289157485e6
2020-03-09,south,104.66,103.89,93.74,100.76333333333334,9,-5,1,1,1.6666666666666667,9.710639232755661e6
2020-03-10,capital,97.55,89.99,88.47,92.00333333333333,-1,-4,-1,2,-2.0,1.3847675150740314e7
2020-03-10,central,101.98,99.19,106.88,102.68333333333334,4,-5,0,2,-0.3333333333333333,1.0710862660414152e7
2020-03-10,north,104.74,103.02,,103.88,2,0,1,1,1.0,4.785310480451475e6
2020-03-10,zealand,102.32,96.21,100.6,99.71,6,-3,0,2,1.0,5.242059475546583e6
2020-03-10,south,104.95,96.85,87.48,96.42666666666668,6,-5,1,2,0.6666666666666666,9.651049674018912e6
2020-03-11,capital,88.92,87.88,76.74,84.51333333333334,4,7,-3,3,2.6666666666666665,1.4401828692987558e7
2020-03-11,central,90.78,96.32,80.56,89.21999999999998,5,3,-1,2,2.3333333333333335,1.103264634674365e7
2020-03-11,north,91.92,95.83,,93.875,5,6,0,2,3.6666666666666665,4.906386849981982e6
2020-03-11,zealand,91.6,97.48,87.49,92.19,10,6,-1,2,5.0,5.471796853275195e6
2020-03-11,south,92.61,98.82,70.8,87.41000000000001,9,3,0,1,4.0,9.96575336123522e6
2020-03-12,capital,65.21,52.31,46.55,54.69,-17,22,-33,14,-9.333333333333334,1.159956901634711e7
2020-03-12,central,68.9,55.17,53.05,59.04,-8,21,-28,12,-5.0,9.130833536643988e6
2020-03-12,north,72.84,61.79,,67.315,-10,29,-25,10,-2.0,4.17938651831755e6
2020-03-12,zealand,71.48,62.13,57.93,63.84666666666667,-4,23,-25,11,-2.0,4.634387227328612e6
2020-03-12,south,71.94,59.41,55.27,62.20666666666667,-5,22,-24,10,-2.3333333333333335,8.366597554112402e6
2020-03-13,capital,62.0,55.43,39.95,52.46,-34,-8,-50,20,-30.666666666666668,1.0404054357659854e7
2020-03-13,central,69.59,69.42,58.13,65.71333333333332,-26,-10,-43,16,-26.333333333333332,8.587810261336047e6
2020-03-13,north,75.35,79.67,,77.50999999999999,-28,-5,-41,14,-24.666666666666668,4.0572603399508237e6
2020-03-13,zealand,69.41,68.45,59.81,65.89,-20,-6,-40,15,-22.0,4.464120782606558e6
2020-03-13,south,72.79,70.07,56.68,66.51333333333334,-22,-8,-39,14,-23.0,7.864295046777539e6
2020-03-14,capital,57.09,60.71,36.16,51.32,-36,-10,-18,8,-21.333333333333332,9.840766290602516e6
2020-03-14,central,63.97,70.07,44.93,59.656666666666666,-32,-11,-16,8,-19.666666666666668,7.555834327870619e6
2020-03-14,north,71.78,78.28,,75.03,-31,-4,-16,7,-17.0,3.6214182304826556e6
2020-03-14,zealand,65.5,84.14,57.33,68.99,-24,-6,-13,7,-14.333333333333334,4.279262717857241e6
2020-03-14,south,63.33,73.12,47.67,61.373333333333335,-27,-9,-14,7,-16.666666666666668,6.832767429032093e6
2020-03-15,capital,50.13,39.87,29.0,39.666666666666664,-40,-25,-23,9,-29.333333333333332,7.902616385568229e6
2020-03-15,central,58.39,50.09,40.37,49.61666666666667,-34,-27,-24,8,-28.333333333333332,6.07069041767892e6
2020-03-15,north,63.39,55.34,,59.365,-36,-19,-24,8,-26.333333333333332,2.929245673520048e6
2020-03-15,zealand,64.81,66.35,56.38,62.51333333333333,-25,-19,-20,7,-21.333333333333332,3.462438298504063e6
2020-03-15,south,59.43,57.66,47.09,54.72666666666667,-27,-24,-21,8,-24.0,5.612837962170351e6
2020-03-16,capital,56.66,45.36,26.93,42.98333333333333,-29,-16,-58,20,-34.333333333333336,9.60565167330117e6
2020-03-16,central,64.79,65.33,41.64,57.25333333333333,-23,-16,-49,16,-29.333333333333332,7.80851539667625e6
2020-03-16,north,70.2,78.46,,74.33,-22,-8,-46,15,-25.333333333333332,3.7555254754125853e6
2020-03-16,zealand,69.59,74.08,58.7,67.45666666666666,-18,-11,-48,16,-25.666666666666668,4.1401319123996454e6
2020-03-16,south,65.29,71.26,48.24,61.59666666666667,-21,-14,-45,15,-26.666666666666668,7.167572387781279e6
2020-03-17,capital,54.5,41.9,23.5,39.96666666666667,-30,-3,-60,21,-31.0,9.796311198465424e6
2020-03-17,central,58.9,56.23,35.89,50.339999999999996,-26,-8,-50,18,-28.0,7.7370536207005335e6
2020-03-17,north,65.64,66.92,,66.28,-27,-2,-48,16,-25.666666666666668,3.575528846273636e6
2020-03-17,zealand,65.34,68.59,47.04,60.32333333333333,-15,-1,-49,16,-21.666666666666668,4.1898863016660623e6
2020-03-17,south,61.07,59.38,40.83,53.76,-22,-6,-47,16,-25.0,7.088727137519304e6
2020-03-18,capital,50.28,37.94,20.62,36.28,-48,-24,-62,24,-44.666666666666664,8.700235547248948e6
2020-03-18,central,56.85,51.71,36.22,48.26,-40,-21,-53,20,-38.0,7.233409929440225e6
2020-03-18,north,63.17,64.11,,63.64,-39,-15,-50,18,-34.666666666666664,3.480729659383829e6
2020-03-18,zealand,62.35,65.42,47.9,58.55666666666667,-32,-19,-52,19,-34.333333333333336,3.845073058388645e6
2020-03-18,south,57.45,56.02,36.36,49.94333333333333,-37,-20,-49,18,-35.333333333333336,6.579664803985564e6
2020-03-19,capital,54.29,47.15,24.42,41.95333333333333,-45,-21,-63,23,-43.0,9.373117382795552e6
2020-03-19,central,61.06,64.6,38.24,54.63333333333333,-38,-22,-54,20,-38.0,7.56346153653341e6
2020-03-19,north,69.47,68.27,,68.87,-39,-16,-51,18,-35.333333333333336,3.536261954729024e6
2020-03-19,zealand,66.72,83.06,46.62,65.46666666666667,-30,-18,-52,18,-33.333333333333336,4.130507546462637e6
2020-03-19,south,61.21,65.26,39.74,55.403333333333336,-36,-21,-50,17,-35.666666666666664,6.931726325516467e6
2020-03-20,capital,52.84,44.64,21.96,39.81333333333333,-51,-23,-63,25,-45.666666666666664,9.056602888637455e6
2020-03-20,central,62.66,63.0,36.9,54.18666666666667,-42,-25,-54,20,-40.333333333333336,7.70613675397107e6
2020-03-20,north,74.6,79.79,,77.195,-41,-19,-51,19,-37.0,3.7122241137999767e6
2020-03-20,zealand,65.61,75.67,51.07,64.11666666666666,-35,-21,-53,19,-36.333333333333336,4.229376350755306e6
2020-03-20,south,63.69,66.43,41.28,57.13333333333333,-39,-23,-51,18,-37.666666666666664,7.111689728406871e6
2020-03-21,capital,49.46,48.33,21.04,39.60999999999999,-56,-23,-33,12,-37.333333333333336,8.327184174728274e6
2020-03-21,central,58.61,65.91,36.52,53.68,-46,-23,-26,11,-31.666666666666668,6.805903859455686e6
2020-03-21,north,70.85,81.05,,75.94999999999999,-44,-16,-24,10,-28.0,3.316051291557505e6
2020-03-21,zealand,63.39,90.02,51.24,68.21666666666667,-38,-17,-24,10,-26.333333333333332,4.0506489030536497e6
2020-03-21,south,57.84,69.3,42.17,56.43666666666667,-44,-20,-25,11,-29.666666666666668,6.163732247048033e6
2020-03-22,capital,47.27,39.68,21.21,36.053333333333335,-51,-27,-33,10,-37.0,7.537433239019688e6
